time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.0,-0.56103164,-0.6463183,1.7031667,-1.8830476,-0.7476782,0.67210567
1.0,-0.56474423,-0.64045787,1.7134391,-1.8962475,-0.7501981,0.6681013
2.0,-0.5609315,-0.62705314,1.6990854,-1.8983109,-0.74761033,0.6722139
3.0,-0.55572164,-0.6107965,1.6793542,-1.8989913,-0.744088,0.6778708
4.0,-0.56118053,-0.6157322,1.6973827,-1.9077317,-0.74777913,0.67194456
5.0,-0.5666453,-0.6193524,1.714679,-1.9171,-0.7514916,0.6660592
6.0,-0.5709726,-0.62879306,1.7295406,-1.9191446,-0.7544435,0.66143197
7.0,-0.5732423,-0.6186772,1.733811,-1.9317721,-0.75599605,0.65901655
8.0,-0.5638744,-0.60613894,1.7032928,-1.9211054,-0.749607,0.6690375
9.0,-0.5659947,-0.59731454,1.7074052,-1.9323744,-0.7510487,0.66675746
10.0,-0.55651057,-0.5840209,1.6752398,-1.9210205,-0.7446204,0.67701143
11.0,-0.5580442,-0.60070115,1.684219,-1.9120936,-0.7456563,0.67534363
12.0,-0.5523636,-0.59566486,1.6651933,-1.9026644,-0.7418262,0.68153995
13.0,-0.54835725,-0.5960971,1.6524177,-1.8927052,-0.7391365,0.6859411
14.0,-0.5436078,-0.5911689,1.6356142,-1.8847164,-0.7359605,0.69119245
15.0,-0.5478199,-0.5768976,1.6458632,-1.905788,-0.7387765,0.6865334
16.0,-0.54269046,-0.57466257,1.6284506,-1.8948143,-0.73534864,0.69221085
17.0,-0.53796095,-0.5778028,1.6132894,-1.8804288,-0.73220235,0.6974839
18.0,-0.5382644,-0.5887516,1.6169674,-1.8729056,-0.7324038,0.69714445
19.0,-0.30140832,-0.46602243,1.217429,-1.2952062,-1.8308091,-0.15420595
20.0,-0.29250556,-0.47369072,1.22273,-1.2916335,-1.8231878,-0.1494491
21.0,-0.29038635,-0.4645732,1.2215754,-1.2993152,-1.8213729,-0.14831953
22.0,-0.29746643,-0.45850986,1.2173394,-1.3020905,-1.8274353,-0.1520974
23.0,-0.28352827,-0.46023282,1.2231417,-1.3043277,-1.8154972,-0.14467128
24.0,-0.29067838,-0.45113793,1.2182027,-1.3094165,-1.821623,-0.14847513
25.0,-0.29920647,-0.44352078,1.2128096,-1.3127866,-1.8289248,-0.1530277
