time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z
0.0,-2.5529323674416418,-2.501125462376744,-1.8234265679088009,-1.6039927947550254,0.523671094480246,-0.3103128837208077,0.9756579493989023,0.24902364383249637,-0.09935440624271585
1.0,-2.5562371324012556,-2.481420293647904,-1.8576234960555587,-1.4592686806633044,0.5457266542473447,-0.4231031215962363,0.9758051702417327,0.24743412264223913,-0.09184429758029207
2.0,-2.5606332114657917,-2.464789250617607,-1.8875518294436717,-1.325363499054202,0.5739317197471359,-0.5265572608146626,0.9760003472350216,0.24532682742335832,-0.0844638371262265
3.0,-2.566111359583502,-2.450567283077699,-1.9134387101117996,-1.203348642311551,0.6075215166674204,-0.6201234298070677,0.9762425294960767,0.24271202470633563,-0.07724898174197006
4.0,-2.5726594826848412,-2.4381376802146155,-1.9357300822008747,-1.0932965859938817,0.6457613975482164,-0.703980888696853,0.9765305371372662,0.23960245354716936,-0.07023488147772011
5.0,-2.5802622975578564,-2.4270118885397616,-1.9549464924022464,-0.9946182568220909,0.6879918708399074,-0.7787668344058661,0.9768629670143127,0.236013263463974,-0.06345570832490921
6.0,-2.58890094307756,-2.416848543519694,-1.9715899330159836,-0.9063653262190219,0.7336466269971325,-0.8453479874722236,0.9772381995622711,0.23196194063005077,-0.056944489733697735
7.0,-2.5985525544729318,-2.407438041146823,-1.9860974033039236,-0.8274505026968637,0.7822528157604817,-0.9046618815286651,0.9776544066858858,0.22746822268300892,-0.05073294770655666
8.0,-2.609189814949435,-2.39867422738787,-1.9988261365333564,-0.7567857393475299,0.8334218890946272,-0.9576214116001099,0.9781095606658875,0.22255400256497956,-0.0448513442518602
9.0,-2.620780501677582,-2.390525554525448,-2.010056231449853,-0.693357375621938,0.8868367165677675,-1.0050655339423593,0.9786014440378377,0.21724322186240205,-0.03932833395042293
10.0,-2.6332870457398476,-2.383010851573699,-2.0200009075815295,-0.6362595342440305,0.9422382541149373,-1.0477394319055031,0.9791276603953921,0.21156175416502151,-0.034190824353262386
11.0,-2.6289018702273834,-2.4578124258288123,-1.7747490643592956,-1.4205678949127798,0.9230486382601113,-2.1802551280071465,1.0148546816813884,0.23376241180135626,-0.06677261357369324
12.0,-2.6181334159042406,-2.4478006734375186,-1.8101652678881137,-1.3484425251061787,0.8748285742489492,-2.204224808283719,1.0073941975368992,0.23513494750398511,-0.0655863143757307
13.0,-2.6078295046222264,-2.439328288281499,-1.8460554911435045,-1.2708584178973041,0.8270020931642177,-2.232311344604776,0.9998277709772042,0.2360496295229551,-0.06465758964085574
14.0,-2.598044126484843,-2.432739288918046,-1.8822818761925333,-1.186846229646566,0.7797479078156737,-2.2652575173282576,0.9921922648719278,0.23650200161941337,-0.06399096402262162
15.0,-2.588834716027703,-2.4284583187466553,-1.91866280266891,-1.0952329710296624,0.7333048971335071,-2.3039730878777487,0.9845248786392965,0.23648985988197824,-0.06358968525403139
16.0,-2.5802622975580425,-2.427011888536993,-1.9549464922863102,-0.9946182573974032,0.6879918708417165,-2.3495631608481156,0.9768629670143127,0.236013263463974,-0.06345570832490921
17.0,-2.5723915835607727,-2.4290488435630015,-1.9907711574184146,-0.8833728682687296,0.6442332465564174,-2.4033484547841746,0.9692438580602407,0.23507453429524183,-0.06358968595738645
18.0,-2.5652910082224865,-2.435350029702504,-2.0256078786113423,-0.7596904502468729,0.602591078954163,-2.466860477982095,0.9617046713100346,0.23367824576993113,-0.06399096542590509
19.0,-2.559032673649891,-2.4468050046000247,-2.058686566178409,-0.6217463393332647,0.5638019232417221,-2.5417794219142453,0.9542821369237049,0.23183120046538275,-0.06465759173723094
20.0,-2.553692181245813,-2.4643153204904733,-2.08891931683036,-0.4680427705911996,0.5288124155129629,-2.6297616565015094,0.9470124167426712,0.2295423970006561,-0.06558631715498431
21.0,-2.549348315077667,-2.4885691828939778,-2.1148672392901084,-0.29801907174610975,0.4987987233353255,-2.732087342141012,0.939930928112906,0.2268229861961616,-0.066772617022285
