time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.0,-2.5529323674416418,-2.501125462376744,-1.8234265679088009,-1.6039927947550254,0.523671094480246,-0.3103128837208077
1.0,-2.5530110523216325,-2.500656291692724,-1.8242407804837237,-1.6005469825147463,0.524196226855653,-0.31299836557498456
2.0,-2.5530897372016232,-2.500187121008704,-1.8250549930586464,-1.5971011702744673,0.5247213592310602,-0.31568384742916145
3.0,-2.553168422081614,-2.4997179503246842,-1.8258692056335692,-1.5936553580341881,0.5252464916064673,-0.3183693292833383
4.0,-2.553247106961605,-2.499248779640664,-1.8266834182084921,-1.5902095457939092,0.5257716239818744,-0.32105481113751516
5.0,-2.553325791841596,-2.498779608956644,-1.827497630783415,-1.58676373355363,0.5262967563572816,-0.32374029299169205
6.0,-2.5534044767215867,-2.498310438272624,-1.8283118433583376,-1.583317921313351,0.5268218887326886,-0.32642577484586893
7.0,-2.5534831616015774,-2.497841267588604,-1.8291260559332605,-1.5798721090730719,0.5273470211080957,-0.32911125670004576
8.0,-2.553561846481568,-2.4973720969045843,-1.8299402685081834,-1.576426296832793,0.5278721534835028,-0.33179673855422265
9.0,-2.553640531361559,-2.496902926220564,-1.830754481083106,-1.5729804845925137,0.52839728585891,-0.33448222040839953
10.0,-2.5537192162415496,-2.496433755536544,-1.8315686936580289,-1.5695346723522348,0.5289224182343171,-0.3371677022625764
11.0,-2.553797901121541,-2.495964584852524,-1.8323829062329517,-1.5660888601119556,0.5294475506097241,-0.33985318411675325
12.0,-2.5538765860015316,-2.495495414168504,-1.8331971188078746,-1.5626430478716766,0.5299726829851313,-0.34253866597093013
13.0,-2.5539552708815223,-2.495026243484484,-1.8340113313827973,-1.5591972356313974,0.5304978153605384,-0.345224147825107
14.0,-2.554033955761513,-2.4945570728004642,-1.8348255439577201,-1.5557514233911185,0.5310229477359455,-0.3479096296792839
15.0,-2.554112640641504,-2.494087902116444,-1.835639756532643,-1.5523056111508393,0.5315480801113527,-0.35059511153346073
16.0,-2.5541913255214945,-2.493618731432424,-1.8364539691075656,-1.5488597989105604,0.5320732124867598,-0.3532805933876376
17.0,-2.5542700104014853,-2.493149560748404,-1.8372681816824885,-1.5454139866702812,0.5325983448621668,-0.3559660752418145
18.0,-2.5543486952814765,-2.492680390064384,-1.8380823942574114,-1.5419681744300022,0.533123477237574,-0.3586515570959914
19.0,-2.554427380161467,-2.4922112193803643,-1.8388966068323342,-1.538522362189723,0.5336486096129811,-0.3613370389501682
20.0,-2.554506065041458,-2.491742048696344,-1.839710819407257,-1.535076549949444,0.5341737419883882,-0.3640225208043451
21.0,-2.5545847499214487,-2.491272878012324,-1.8405250319821798,-1.531630737709165,0.5346988743637953,-0.366708002658522
22.0,-2.5546634348014394,-2.490803707328304,-1.8413392445571026,-1.528184925468886,0.5352240067392025,-0.3693934845126989
23.0,-2.55474211968143,-2.490334536644284,-1.8421534571320253,-1.5247391132286068,0.5357491391146095,-0.3720789663668757
24.0,-2.554820804561421,-2.4898653659602643,-1.8429676697069481,-1.5212933009883276,0.5362742714900166,-0.3747644482210526
25.0,-2.554899489441412,-2.4893961952762442,-1.843781882281871,-1.5178474887480486,0.5367994038654238,-0.3774499300752295
26.0,-2.554978174321403,-2.488927024592224,-1.8445960948567939,-1.5144016765077695,0.5373245362408309,-0.38013541192940636
27.0,-2.5550568592013936,-2.488457853908204,-1.8454103074317165,-1.5109558642674905,0.537849668616238,-0.3828208937835832
28.0,-2.5551355440813843,-2.487988683224184,-1.8462245200066394,-1.5075100520272113,0.5383748009916451,-0.3855063756377601
29.0,-2.555214228961375,-2.4875195125401643,-1.8470387325815623,-1.5040642397869324,0.5388999333670522,-0.38819185749193696
30.0,-2.555292913841366,-2.4870503418561443,-1.847852945156485,-1.5006184275466532,0.5394250657424593,-0.39087733934611385
31.0,-2.5553715987213566,-2.486581171172124,-1.8486671577314078,-1.4971726153063742,0.5399501981178665,-0.39356282120029074
32.0,-2.5554502836013477,-2.486112000488104,-1.8494813703063306,-1.493726803066095,0.5404753304932736,-0.39624830305446757
33.0,-2.5555289684813385,-2.485642829804084,-1.8502955828812535,-1.490280990825816,0.5410004628686806,-0.39893378490864445
34.0,-2.5556076533613292,-2.485173659120064,-1.8511097954561762,-1.486835178585537,0.5415255952440878,-0.40161926676282134
35.0,-2.55568633824132,-2.4847044884360443,-1.851924008031099,-1.483389366345258,0.5420507276194949,-0.40430474861699817
36.0,-2.5557650231213107,-2.484235317752024,-1.852738220606022,-1.4799435541049788,0.542575859994902,-0.40699023047117505
37.0,-2.5558437080013015,-2.483766147068004,-1.8535524331809445,-1.4764977418646998,0.5431009923703091,-0.40967571232535194
38.0,-2.555922392881292,-2.483296976383984,-1.8543666457558674,-1.4730519296244207,0.5436261247457163,-0.4123611941795288
39.0,-2.5560010777612834,-2.482827805699964,-1.8551808583307903,-1.4696061173841417,0.5441512571211233,-0.4150466760337057
40.0,-2.556079762641274,-2.4823586350159443,-1.8559950709057131,-1.4661603051438625,0.5446763894965304,-0.41773215788788254
41.0,-2.556158447521265,-2.4818894643319243,-1.8568092834806358,-1.4627144929035834,0.5452015218719376,-0.4204176397420594
42.0,-2.5562371324012556,-2.481420293647904,-1.8576234960555587,-1.4592686806633044,0.5457266542473447,-0.4231031215962363
43.0,-2.5562371324012556,-2.481420293647904,-1.8576234960555587,-1.4592686806633044,0.5457266542473447,-0.4231031215962363
44.0,-2.556349852377269,-2.4809938566471272,-1.8583908892193564,-1.4558352144681992,0.5464498610550317,-0.4257557918326062
