time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
0.0,-2.92374587059021,-2.611429214477539,-1.3305405378341675,-1.752953052520752,1.5093613862991333,-0.04093106463551521,1.2282955646514893,0.05632658302783966,-0.0687221810221672,0.7072241306304932,-0.5260881781578064,-0.28189167380332947,0.37894901633262634
1.0,-2.9256389141082764,-2.60823917388916,-1.3316386938095093,-1.757794976234436,1.5129793882369995,-0.03829694911837578,1.2273736000061035,0.05434679239988327,-0.06519778817892075,0.7050551772117615,-0.5279666185379028,-0.28378215432167053,0.37896728515625
2.0,-2.936103582382202,-2.614170789718628,-1.321446418762207,-1.7662259340286255,1.5389567613601685,-0.020914815366268158,1.2307262420654297,0.046184368431568146,-0.0673651322722435,0.6932575106620789,-0.5420590043067932,-0.29254406690597534,0.37414446473121643
3.0,-2.94535756111145,-2.617457866668701,-1.3146421909332275,-1.773414134979248,1.5610166788101196,-0.006374600809067488,1.232779622077942,0.03859669715166092,-0.06790139526128769,0.6828569173812866,-0.5538325905799866,-0.3001040518283844,0.3700181841850281
4.0,-2.964574098587036,-2.6197547912597656,-1.307997226715088,-1.7808884382247925,1.6050375699996948,0.022159766405820847,1.2346819639205933,0.02204883098602295,-0.06720440834760666,0.6619503498077393,-0.5773983597755432,-0.3141724169254303,0.3601785898208618
5.0,-2.951791763305664,-2.623565196990967,-1.3082853555679321,-1.7728699445724487,1.5769500732421875,0.004018219653517008,1.2354053258895874,0.03362906724214554,-0.07237494736909866,0.6759010553359985,-0.5626031756401062,-0.3045608699321747,0.36589378118515015
6.0,-2.942854642868042,-2.623805046081543,-1.3108422756195068,-1.7673717737197876,1.5573115348815918,-0.00885679665952921,1.2349183559417725,0.041549913585186005,-0.07409347593784332,0.6854228973388672,-0.5519692301750183,-0.2978578209877014,0.3698731064796448
7.0,-2.931828498840332,-2.619879961013794,-1.3199059963226318,-1.7564433813095093,1.5304734706878662,-0.026807261630892754,1.2323124408721924,0.05048999935388565,-0.07395245134830475,0.6982103586196899,-0.5377655625343323,-0.2883526682853699,0.37438398599624634
8.0,-2.9631741046905518,-2.630124807357788,-1.3003286123275757,-1.7748159170150757,1.6039716005325317,0.02162940613925457,1.238369107246399,0.024281084537506104,-0.07651178538799286,0.6633058786392212,-0.5770743489265442,-0.3127288520336151,0.3594595789909363
9.0,-2.955387592315674,-2.631059169769287,-1.3016308546066284,-1.7701069116592407,1.5871648788452148,0.010732376947999,1.2383480072021484,0.03132364898920059,-0.07850033789873123,0.6717655062675476,-0.5682154893875122,-0.30692046880722046,0.3628528118133545
10.0,-2.9498534202575684,-2.6324636936187744,-1.3020176887512207,-1.7663978338241577,1.5754399299621582,0.0030576696153730154,1.238563060760498,0.03641234338283539,-0.08056383579969406,0.6776520013809204,-0.5619257688522339,-0.30279818177223206,0.36515820026397705
11.0,-2.9411826133728027,-2.6290435791015625,-1.3080596923828125,-1.7612680196762085,1.5548319816589355,-0.01056872121989727,1.2366360425949097,0.04358772188425064,-0.07942398637533188,0.6873840689659119,-0.5508994460105896,-0.2959931492805481,0.3693251311779022
12.0,-2.9318573474884033,-2.6246354579925537,-1.3165243864059448,-1.7528339624404907,1.5317848920822144,-0.026062127202749252,1.2340302467346191,0.05102654546499252,-0.07830329984426498,0.6982216835021973,-0.5386274456977844,-0.2880289852619171,0.373371422290802
13.0,-2.92378306388855,-2.6213560104370117,-1.3232674598693848,-1.7460240125656128,1.513368010520935,-0.0386224240064621,1.2318772077560425,0.0577053502202034,-0.07765910029411316,0.7068345546722412,-0.5283546447753906,-0.2816036641597748,0.3767302930355072
14.0,-2.9223642349243164,-2.6251933574676514,-1.3211308717727661,-1.7419517040252686,1.5121853351593018,-0.039617981761693954,1.2330758571624756,0.05955188721418381,-0.08147802203893661,0.7080512642860413,-0.5276353359222412,-0.28043508529663086,0.3763251304626465
15.0,-2.9088077545166016,-2.618929624557495,-1.3329451084136963,-1.731953740119934,1.4818886518478394,-0.06058688461780548,1.2290003299713135,0.07072307169437408,-0.0795610174536705,0.7216708660125732,-0.5100322365760803,-0.2701271176338196,0.38221678137779236
16.0,-2.9007866382598877,-2.6164472103118896,-1.3401931524276733,-1.7225334644317627,1.4639161825180054,-0.07347895950078964,1.22676682472229,0.07733729481697083,-0.0801117941737175,0.7299238443374634,-0.4995650053024292,-0.2634909451007843,0.3849916160106659
17.0,-2.9070897102355957,-2.622480630874634,-1.3311854600906372,-1.7278172969818115,1.479909896850586,-0.06223968416452408,1.230028510093689,0.07279689610004425,-0.08318564295768738,0.7231834530830383,-0.5087836980819702,-0.26874643564224243,0.381995290517807
18.0,-2.9185657501220703,-2.628618001937866,-1.3205235004425049,-1.735666036605835,1.5059562921524048,-0.044145528227090836,1.233811616897583,0.06347185373306274,-0.085566945374012,0.7116743922233582,-0.5240030884742737,-0.27743086218833923,0.3767925500869751
19.0,-2.928091049194336,-2.6301193237304688,-1.3144558668136597,-1.7448253631591797,1.5260177850723267,-0.030208511278033257,1.2355527877807617,0.05513780564069748,-0.08430960774421692,0.7019649744033813,-0.5354583859443665,-0.2848125994205475,0.3733781576156616
