time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
0.0,-0.5577693581581116,-0.9393563866615295,2.1880619525909424,-0.6511964201927185,1.0946215391159058,-0.30235934257507324,0.7914122343063354,-0.1734505295753479,0.03201104328036308,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
1.0,-0.5723888278007507,-0.9337760806083679,2.1827807426452637,-0.6471768617630005,1.0825527906417847,-0.3116719722747803,0.7914122343063354,-0.1847272515296936,0.029479991644620895,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
2.0,-0.5847916007041931,-0.9278566241264343,2.1780009269714355,-0.6445303559303284,1.0723423957824707,-0.31966644525527954,0.7914122343063354,-0.1944214552640915,0.026513081043958664,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
3.0,-0.5951147675514221,-0.9256251454353333,2.173814535140991,-0.639336884021759,1.0638645887374878,-0.3263883590698242,0.7914122343063354,-0.20258383452892303,0.026102792471647263,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
4.0,-0.5812520384788513,-0.940763533115387,2.179337978363037,-0.6340526938438416,1.0752534866333008,-0.31737595796585083,0.7914122343063354,-0.19164258241653442,0.03573043271899223,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
5.0,-0.5915228128433228,-0.9394714832305908,2.1752402782440186,-0.6280524134635925,1.06681227684021,-0.32404235005378723,0.7914122343063354,-0.19973382353782654,0.036033060401678085,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
6.0,-0.6015108227729797,-0.9472242593765259,2.170928478240967,-0.6128045916557312,1.0586216449737549,-0.33058494329452515,0.7914122343063354,-0.2076854556798935,0.043187301605939865,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
7.0,-0.6139994859695435,-0.939913272857666,2.1655633449554443,-0.6106627583503723,1.0484063625335693,-0.33885082602500916,0.7914122343063354,-0.21774829924106598,0.03938218578696251,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
8.0,-0.6079916954040527,-0.925171971321106,2.1683297157287598,-0.6301520466804504,1.0533168315887451,-0.33486244082450867,0.7914122343063354,-0.21289043128490448,0.02741852030158043,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
9.0,-0.616646409034729,-0.9189972281455994,2.1644442081451416,-0.6295778155326843,1.0462450981140137,-0.3406151831150055,0.7914122343063354,-0.21989883482456207,0.023930754512548447,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
10.0,-0.6033989787101746,-0.9132852554321289,2.1702113151550293,-0.645416259765625,1.0570752620697021,-0.3318285346031189,0.7914122343063354,-0.20919816195964813,0.017904680222272873,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
11.0,-0.670493483543396,-0.8388486504554749,1.9983644485473633,-1.9082059860229492,-0.8250175714492798,0.5625239610671997,0.8894860744476318,-0.31524983048439026,0.01573590561747551,0.0,0.8660253882408142,0.5,0.0
12.0,-0.6721798181533813,-0.8294283747673035,2.001336097717285,-1.919539451599121,-0.8262535929679871,0.5609630942344666,0.8868438005447388,-0.31524983048439026,0.0066072167828679085,0.0,0.8660253882408142,0.5,0.0
13.0,-0.6046411395072937,-0.889529287815094,2.169010877609253,-0.6675689220428467,1.056058406829834,-0.33264780044555664,0.7914122343063354,-0.21019496023654938,0.00033744872780516744,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
14.0,-0.5992307662963867,-0.8795257806777954,2.1708266735076904,-0.6811347603797913,1.0604897737503052,-0.32908615469932556,0.7914122343063354,-0.205862894654274,-0.0077110109850764275,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
15.0,-0.5812809467315674,-0.8784710764884949,2.177945852279663,-0.6949440240859985,1.0752296447753906,-0.3173946142196655,0.7914122343063354,-0.19166523218154907,-0.010423022322356701,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
16.0,-0.5772398114204407,-0.8906747102737427,2.1800808906555176,-0.6861111521720886,1.0785560607910156,-0.3147883117198944,0.7914122343063354,-0.18850456178188324,-0.001867595361545682,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
17.0,-0.5692886710166931,-0.900559663772583,2.1834144592285156,-0.6819556355476379,1.085108995437622,-0.3096872866153717,0.7914122343063354,-0.1823226511478424,0.004582774825394154,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
18.0,-0.5590493083000183,-0.8998595476150513,2.1870498657226562,-0.6893091797828674,1.093563437461853,-0.30317002534866333,0.7914122343063354,-0.17443157732486725,0.0030458986293524504,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
19.0,-0.5674265027046204,-0.912947952747345,2.1844258308410645,-0.6711333394050598,1.086645245552063,-0.30849772691726685,0.7914122343063354,-0.18088176846504211,0.013513592071831226,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
20.0,-0.5558009147644043,-0.9160751700401306,2.1886093616485596,-0.6755948066711426,1.0962492227554321,-0.30111438035964966,0.7914122343063354,-0.17194412648677826,0.014626187272369862,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
21.0,-0.5389636754989624,-0.9232341051101685,2.194309949874878,-0.6788986921310425,1.1101973056793213,-0.2905491590499878,0.7914122343063354,-0.1591695249080658,0.01825445517897606,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
22.0,-0.5526821613311768,-0.9291357398033142,2.1898319721221924,-0.6646540760993958,1.0988293886184692,-0.2991460859775543,0.7914122343063354,-0.16956304013729095,0.02392658218741417,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
23.0,-0.5745741128921509,-0.9206480383872986,2.181899309158325,-0.658764660358429,1.0807517766952515,-0.3130742013454437,0.7914122343063354,-0.18642665445804596,0.01997843012213707,0.6123724579811096,0.6123723983764648,0.3535533845424652,0.3535533845424652
