time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.0,-0.55776936,-0.9393564,2.188062,-0.6511964,1.0946215,-0.30235934
1.0,-0.5723888,-0.9337761,2.1827807,-0.64717686,1.0825528,-0.31167197
2.0,-0.5847916,-0.9278566,2.178001,-0.64453036,1.0723424,-0.31966645
3.0,-0.59511477,-0.92562515,2.1738145,-0.6393369,1.0638646,-0.32638836
4.0,-0.58125204,-0.94076353,2.179338,-0.6340527,1.0752535,-0.31737596
5.0,-0.5915228,-0.9394715,2.1752403,-0.6280524,1.0668123,-0.32404235
6.0,-0.6015108,-0.94722426,2.1709285,-0.6128046,1.0586216,-0.33058494
7.0,-0.6139995,-0.9399133,2.1655633,-0.61066276,1.0484064,-0.33885083
8.0,-0.6079917,-0.925172,2.1683297,-0.63015205,1.0533168,-0.33486244
9.0,-0.6166464,-0.9189972,2.1644442,-0.6295778,1.0462451,-0.34061518
10.0,-0.603399,-0.91328526,2.1702113,-0.64541626,1.0570753,-0.33182853
11.0,-0.603399,-0.91328526,2.1702113,-0.64541626,1.0570753,-0.33182853
12.0,-0.60664994,-0.91287774,2.1690714,-0.6531313,1.0460206,-0.32644743
13.0,-0.6129712,-0.9120285,2.1667202,-0.66910136,1.0230649,-0.31529826
14.0,-0.6216868,-0.91075647,2.1632419,-0.69280803,0.98886555,-0.29873124
15.0,-0.6320681,-0.909085,2.1587393,-0.7236081,0.9442583,-0.27718532
16.0,-0.64338475,-0.90703434,2.1533062,-0.7608488,0.89010406,-0.2511089
17.0,-0.6549098,-0.9046269,2.1470375,-0.8038782,0.82727003,-0.22095034
18.0,-0.6659687,-0.901889,2.1400354,-0.85204697,0.75663346,-0.18715632
19.0,-0.6762804,-0.8988684,2.1323922,-0.9047061,0.67914194,-0.15017186
20.0,-0.6856196,-0.89561164,2.1241972,-0.96121025,0.59575194,-0.110443406
21.0,-0.6937642,-0.8921633,2.1155388,-1.0209157,0.50742334,-0.068417765
22.0,-0.7004968,-0.8885649,2.106505,-1.0831747,0.4151169,-0.02454531
23.0,-0.7056635,-0.8848578,2.0971944,-1.1473397,0.31979448,0.02072355
24.0,-0.70931804,-0.8810744,2.0877306,-1.2127587,0.22242121,0.06693591
25.0,-0.71154493,-0.87724894,2.0782366,-1.2787868,0.123957895,0.1136409
26.0,-0.7124355,-0.87341166,2.068837,-1.3447816,0.025365872,0.16038452
27.0,-0.7120817,-0.8695959,2.0596688,-1.4100978,-0.07239278,0.20671229
28.0,-0.71057135,-0.86582893,2.0508695,-1.4740853,-0.16835238,0.25216508
29.0,-0.7079969,-0.86213636,2.042574,-1.5360929,-0.26154602,0.29628405
30.0,-0.7045176,-0.8585471,2.0348718,-1.5954777,-0.3509974,0.33860752
31.0,-0.70035905,-0.8551071,2.027807,-1.651609,-0.43572333,0.37867332
32.0,-0.6957523,-0.85186595,2.021415,-1.7038615,-0.5147382,0.41601717
33.0,-0.6909282,-0.8488758,2.0157359,-1.7516098,-0.5870533,0.45017588
34.0,-0.6861159,-0.8461841,2.0108056,-1.79422,-0.6516781,0.48068792
35.0,-0.68155026,-0.84383935,2.0066574,-1.8310537,-0.7076169,0.507094
36.0,-0.67746884,-0.8418868,2.0033157,-1.8614781,-0.753878,0.52893126
37.0,-0.67410964,-0.8403747,2.0008047,-1.8848671,-0.78947306,0.5457371
38.0,-0.6717112,-0.8393482,1.9991498,-1.9006072,-0.81344277,0.5570566
39.0,-0.67049336,-0.83884865,1.9983644,-1.9082059,-0.8250176,0.56252396
40.0,-0.67049336,-0.83884865,1.9983644,-1.9082059,-0.8250176,0.56252396
41.0,-0.67049336,-0.83884865,1.9983644,-1.9082059,-0.8250176,0.56252396
42.0,-0.6721798,-0.8294284,2.001336,-1.9195395,-0.8262536,0.5609631
43.0,-0.6721798,-0.8294284,2.001336,-1.9195395,-0.8262536,0.5609631
44.0,-0.6727969,-0.8315317,2.001351,-1.9134421,-0.8155766,0.5558777
45.0,-0.6740448,-0.83583057,2.0016513,-1.9002962,-0.79320365,0.5452178
46.0,-0.6757855,-0.842157,2.002454,-1.8799769,-0.75953805,0.52917135
47.0,-0.67774034,-0.85019517,2.0040028,-1.8526988,-0.7151936,0.5079746
48.0,-0.6794407,-0.8596707,2.0063865,-1.8188597,-0.6608217,0.48186216
49.0,-0.68056494,-0.87019926,2.0096145,-1.7790562,-0.59711564,0.45106766
50.0,-0.68066996,-0.8813862,2.013703,-1.733875,-0.5248272,0.41587073
51.0,-0.6796895,-0.89279246,2.0187201,-1.6837702,-0.44476458,0.37661457
52.0,-0.67754453,-0.90387166,2.0249324,-1.6290221,-0.35783863,0.33378267
53.0,-0.6752713,-0.914589,2.0321264,-1.5698748,-0.26497513,0.2879159
54.0,-0.67367965,-0.9246784,2.0402737,-1.5066378,-0.16726,0.23973453
55.0,-0.6733471,-0.9339278,2.0493753,-1.4397308,-0.065861665,0.18990466
56.0,-0.6743588,-0.9419103,2.059366,-1.3700072,0.037892226,0.13925052
57.0,-0.6765321,-0.9483878,2.0699952,-1.2984788,0.14260925,0.08842636
58.0,-0.6792318,-0.95295787,2.0808415,-1.2265333,0.24684894,0.038238928
59.0,-0.6816141,-0.9554166,2.09162,-1.1554376,0.3491037,-0.01071706
60.0,-0.682774,-0.95551115,2.1019382,-1.0864803,0.44801995,-0.057690658
61.0,-0.6819618,-0.95333683,2.1117148,-1.0206586,0.5422284,-0.10214303
62.0,-0.67855,-0.9489063,2.1208827,-0.9588332,0.6306719,-0.14345108
63.0,-0.67236054,-0.9426297,2.1295383,-0.9016672,0.7123231,-0.18120372
64.0,-0.6640719,-0.93508595,2.1377108,-0.8497385,0.78654045,-0.21502222
65.0,-0.65425086,-0.926854,2.1453846,-0.8036117,0.8526245,-0.24470964
66.0,-0.6436363,-0.91844434,2.1523337,-0.76374185,0.91020024,-0.2701402
67.0,-0.63291276,-0.9102944,2.1582985,-0.7306127,0.9587324,-0.29127777
68.0,-0.62282807,-0.9028462,2.1629882,-0.70442337,0.99795246,-0.30811483
69.0,-0.61423784,-0.89654315,2.1662843,-0.685312,1.0274134,-0.3206298
70.0,-0.60790896,-0.8919337,2.1682196,-0.67313004,1.046859,-0.32880834
71.0,-0.60464114,-0.8895293,2.1690109,-0.6675689,1.0560584,-0.3326478
72.0,-0.60464114,-0.8895293,2.1690109,-0.6675689,1.0560584,-0.3326478
73.0,-0.60464114,-0.8895293,2.1690109,-0.6675689,1.0560584,-0.3326478
74.0,-0.59923077,-0.8795258,2.1708267,-0.68113476,1.0604898,-0.32908615
