time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.0,-0.5234588,-0.9897891,2.2318532,-0.6540987,1.1230805,-0.2809488
1.0,-0.53819287,-0.99804914,2.203192,-0.613179,1.1108369,-0.29006898
2.0,-0.559068,-1.0279175,2.1936586,-0.5678545,1.093548,-0.30318186
3.0,-0.5837166,-0.9849331,2.1949246,-0.60471034,1.0732262,-0.31897002
4.0,-0.5650821,-0.95273083,2.1959827,-0.64360183,1.0885803,-0.30700284
5.0,-0.5895448,-0.9235172,2.1869102,-0.6562978,1.0684365,-0.3227537
6.0,-0.5827443,-0.8832632,2.1882777,-0.7000335,1.0740259,-0.31834075
7.0,-0.60107857,-0.8411709,2.178003,-0.7260719,1.0589757,-0.33030057
8.0,-0.58540314,-0.81141865,2.1809027,-0.7636805,1.0718396,-0.32006288
9.0,-0.55695224,-0.7907696,2.188168,-0.80012625,1.0952971,-0.30184224
10.0,-0.5135603,-0.8057732,2.2032032,-0.8120686,1.1313238,-0.27488196
11.0,-0.5361711,-0.83968204,2.2007446,-0.7696561,1.112515,-0.28881106
12.0,-0.46682388,-0.82152224,2.2161841,-0.82073176,1.1704289,-0.2468492
13.0,-0.45221078,-0.78715336,2.2143185,-0.8565273,1.1827137,-0.238278
14.0,-0.40988752,-0.78794694,2.2211502,-0.8713787,1.2184335,-0.21392454
15.0,-0.3690406,-0.80873734,2.2286274,-0.8655975,1.2530849,-0.1910221
16.0,-0.3572446,-0.7691322,2.223511,-0.9020903,1.2631209,-0.18450755
17.0,-0.325613,-0.80124426,2.2303324,-0.8818075,1.2900919,-0.16723846
18.0,-0.28018677,-0.80243254,2.231232,-0.8878079,1.3289595,-0.14289762
19.0,-0.2376305,-0.80102557,2.2298176,-0.8927637,1.3654945,-0.120516494
20.0,-0.2555239,-0.7648435,2.2247977,-0.9219461,1.3501196,-0.12988187
21.0,-0.17929131,-0.78418994,2.2227435,-0.9079295,1.4157354,-0.09037191
22.0,-0.14639251,-0.8208561,2.2238426,-0.8747188,1.4441305,-0.07359053
23.0,-0.13064963,-0.85711056,2.2253315,-0.84090817,1.4577312,-0.065604776
24.0,-0.1741476,-0.8784798,2.2328002,-0.82409716,1.4201723,-0.08773901
25.0,-0.19311719,-0.91989315,2.236752,-0.78509706,1.4038147,-0.09746731
26.0,-0.18027183,-0.96047777,2.2357392,-0.7445595,1.4148897,-0.09087422
27.0,-0.19316353,-1.0002261,2.2357342,-0.70374215,1.4037747,-0.09749115
28.0,-0.17827706,-1.0325911,2.2318296,-0.6686943,1.4166102,-0.08985245
29.0,-0.20217715,-1.0616506,2.2311988,-0.6369931,1.3960075,-0.10213222
30.0,-0.14506987,-1.0610362,2.224402,-0.6351823,1.4452729,-0.07291859
31.0,-0.14605027,-1.0061,2.229668,-0.69532186,1.4444262,-0.07341665
32.0,-0.114750564,-0.9631277,2.2264078,-0.7368193,1.4714742,-0.057564788
33.0,-0.06436676,-0.9594009,2.2164183,-0.73252046,1.5150627,-0.03221675
34.0,-0.05453855,-0.9186198,2.214073,-0.7712097,1.5235704,-0.027289571
35.0,-0.08710755,-0.87713116,2.2192063,-0.8168301,1.4953829,-0.04363655
36.0,-0.06380519,-0.83790046,2.2110314,-0.8486498,1.5155488,-0.0319351
37.0,-0.09233742,-0.8086305,2.2134097,-0.87932974,1.4908582,-0.046267334
38.0,-0.03293588,-0.79524136,2.198575,-0.8795,1.5422744,-0.016472409
39.0,-0.1141725,-0.9175024,2.2261076,-0.78217345,1.4719739,-0.0572729
40.0,-0.08780134,-1.0014776,2.219771,-0.6930216,1.4947826,-0.043985445
41.0,-0.0383125,-1.0020653,2.2083592,-0.68237716,1.5376188,-0.019163283
42.0,-0.066703945,-1.0446066,2.2114515,-0.64228165,1.5130397,-0.033389114
43.0,-0.03388461,-1.057656,2.2017016,-0.6201982,1.5414528,-0.016947173
44.0,-0.2365275,-1.01643,2.2380044,-0.68566287,1.3664428,-0.11994121
45.0,-0.27490896,-1.0309641,2.238158,-0.6668658,1.3334844,-0.14010124
46.0,-0.27808818,-1.0679171,2.2342646,-0.6256212,1.3307585,-0.141785
47.0,-0.34163076,-1.0363846,2.2361348,-0.6499997,1.2764238,-0.17594795
48.0,-0.36020574,-1.0706568,2.230966,-0.60752475,1.2606004,-0.18613891
49.0,-0.39693782,-1.0481411,2.2298193,-0.6223428,1.2294011,-0.20660345
50.0,-0.3834302,-1.0162611,2.2342608,-0.6611598,1.2408594,-0.19902755
51.0,-0.41576365,-0.9911893,2.2316163,-0.67744136,1.2134624,-0.21726602
52.0,-0.44799358,-0.9514135,2.2273169,-0.70619136,1.1862638,-0.23582055
53.0,-0.4765885,-0.97467965,2.2209983,-0.6701151,1.1622349,-0.25262618
54.0,-0.49916017,-0.9269367,2.216019,-0.7073928,1.1433412,-0.26613945
55.0,-0.54496425,-0.91103977,2.2025783,-0.6976868,1.1052213,-0.29429743
56.0,-0.45389858,-0.875057,2.2237995,-0.77773106,1.1812936,-0.23926352
57.0,-0.4307009,-0.9103521,2.229715,-0.7533363,1.2008425,-0.22581652
58.0,-0.40093374,-0.9409138,2.2346356,-0.7336284,1.2260151,-0.2088564
59.0,-0.3613961,-0.91817313,2.2382941,-0.76713574,1.2595874,-0.18679544
60.0,-0.32571453,-0.8944556,2.239448,-0.79769677,1.2900052,-0.16729343
61.0,-0.29306364,-0.93329173,2.2415528,-0.7655925,1.3179269,-0.14974673
