time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.0,-0.2807487303587972,-0.78243982298484,2.24924380226513,-0.8948074663485652,1.405192136155798,-0.1057317318755648
1.0,-0.28336181918494563,-0.7950485205811275,2.2466526046987667,-0.88085012257263,1.3970511433732145,-0.1105174700193512
2.0,-0.28336181918494563,-0.7950485205811275,2.2466526046987667,-0.88085012257263,1.3970511433732145,-0.1105174700193512
3.0,-0.2859749080110941,-0.8076572181774151,2.2440614071324028,-0.8668927787966947,1.388910150590631,-0.1153032081631376
4.0,-0.2859749080110941,-0.8076572181774151,2.2440614071324028,-0.8668927787966947,1.388910150590631,-0.1153032081631376
5.0,-0.2859749080110941,-0.8076572181774151,2.2440614071324028,-0.8668927787966947,1.388910150590631,-0.1153032081631376
6.0,-0.2783414726069007,-0.8135452850356357,2.242172772376121,-0.8618691689168964,1.4056190695091548,-0.10433879696202221
7.0,-0.2783414726069007,-0.8135452850356357,2.242172772376121,-0.8618691689168964,1.4056190695091548,-0.10433879696202221
8.0,-0.27070803720270725,-0.8194333518938562,2.240284137619839,-0.8568455590370979,1.4223279884276785,-0.09337438576090681
9.0,-0.27070803720270725,-0.8194333518938562,2.240284137619839,-0.8568455590370979,1.4223279884276785,-0.09337438576090681
10.0,-0.26307460179851383,-0.8253214187520769,2.238395502863557,-0.8518219491572996,1.4390369073462024,-0.0824099745597914
11.0,-0.26307460179851383,-0.8253214187520769,2.238395502863557,-0.8518219491572996,1.4390369073462024,-0.0824099745597914
12.0,-0.26307460179851383,-0.8253214187520769,2.238395502863557,-0.8518219491572996,1.4390369073462024,-0.0824099745597914
13.0,-0.25599658238046524,-0.8301350875080797,2.2361118213667064,-0.8466715664136941,1.4548907594497806,-0.0723501412055903
14.0,-0.25599658238046524,-0.8301350875080797,2.2361118213667064,-0.8466715664136941,1.4548907594497806,-0.0723501412055903
15.0,-0.24891856296241666,-0.8349487562640827,2.233828139869856,-0.8415211836700888,1.470744611553359,-0.06229030785138919
16.0,-0.24891856296241666,-0.8349487562640827,2.233828139869856,-0.8415211836700888,1.470744611553359,-0.06229030785138919
17.0,-0.2418405435443681,-0.8397624250200857,2.2315444583730053,-0.8363708009264834,1.4865984636569372,-0.05223047449718808
18.0,-0.2418405435443681,-0.8397624250200857,2.2315444583730053,-0.8363708009264834,1.4865984636569372,-0.05223047449718808
19.0,-0.2347625241263195,-0.8445760937760886,2.2292607768761545,-0.831220418182878,1.5024523157605154,-0.04217064114298698
20.0,-0.2347625241263195,-0.8445760937760886,2.2292607768761545,-0.831220418182878,1.5024523157605154,-0.04217064114298698
21.0,-0.2347625241263195,-0.8445760937760886,2.2292607768761545,-0.831220418182878,1.5024523157605154,-0.04217064114298698
22.0,-0.23417994781741044,-0.8540978622046304,2.226360056053897,-0.8205104701386464,1.5035136285651438,-0.04136148662872237
23.0,-0.23417994781741044,-0.8540978622046304,2.226360056053897,-0.8205104701386464,1.5035136285651438,-0.04136148662872237
24.0,-0.23359737150850138,-0.8636196306331722,2.22345933523164,-0.8098005220944149,1.504574941369772,-0.040552332114457766
25.0,-0.23359737150850138,-0.8636196306331722,2.22345933523164,-0.8098005220944149,1.504574941369772,-0.040552332114457766
26.0,-0.23359737150850138,-0.8636196306331722,2.22345933523164,-0.8098005220944149,1.504574941369772,-0.040552332114457766
27.0,-0.2266547889562368,-0.8620054936380568,2.221766764121387,-0.8093989483521731,1.520910236948218,-0.03052002975619477
28.0,-0.2266547889562368,-0.8620054936380568,2.221766764121387,-0.8093989483521731,1.520910236948218,-0.03052002975619477
29.0,-0.2197122064039722,-0.8603913566429413,2.220074193011134,-0.8089973746099312,1.5372455325266638,-0.020487727397931775
30.0,-0.2197122064039722,-0.8603913566429413,2.220074193011134,-0.8089973746099312,1.5372455325266638,-0.020487727397931775
31.0,-0.21276962385170764,-0.8587772196478259,2.2183816219008814,-0.8085958008676892,1.5535808281051098,-0.01045542503966878
32.0,-0.21276962385170764,-0.8587772196478259,2.2183816219008814,-0.8085958008676892,1.5535808281051098,-0.01045542503966878
33.0,-0.20582704129944307,-0.8571630826527106,2.2166890507906283,-0.8081942271254474,1.5699161236835557,-0.00042312268140578396
34.0,-0.20582704129944307,-0.8571630826527106,2.2166890507906283,-0.8081942271254474,1.5699161236835557,-0.00042312268140578396
35.0,-0.1988844587471785,-0.8555489456575952,2.2149964796803756,-0.8077926533832056,1.5862514192620016,0.009609179676857212
36.0,-0.1988844587471785,-0.8555489456575952,2.2149964796803756,-0.8077926533832056,1.5862514192620016,0.009609179676857212
37.0,-0.19194187619491393,-0.8539348086624798,2.213303908570123,-0.8073910796409637,1.6025867148404476,0.019641482035120207
38.0,-0.19194187619491393,-0.8539348086624798,2.213303908570123,-0.8073910796409637,1.6025867148404476,0.019641482035120207
39.0,-0.18499929364264933,-0.8523206716673644,2.21161133745987,-0.8069895058987218,1.6189220104188935,0.029673784393383203
40.0,-0.18499929364264933,-0.8523206716673644,2.21161133745987,-0.8069895058987218,1.6189220104188935,0.029673784393383203
41.0,-0.17805671109038476,-0.850706534672249,2.209918766349617,-0.80658793215648,1.6352573059973394,0.0397060867516462
42.0,-0.17805671109038476,-0.850706534672249,2.209918766349617,-0.80658793215648,1.6352573059973394,0.0397060867516462
43.0,-0.17805671109038476,-0.850706534672249,2.209918766349617,-0.80658793215648,1.6352573059973394,0.0397060867516462
44.0,-0.1838051064967153,-0.8426273452595138,2.21420962719272,-0.8177766761035095,1.6209080207969384,0.03090709683679283
45.0,-0.1838051064967153,-0.8426273452595138,2.21420962719272,-0.8177766761035095,1.6209080207969384,0.03090709683679283
46.0,-0.18955350190304585,-0.8345481558467787,2.218500488035823,-0.828965420050539,1.6065587355965376,0.02210810692193946
47.0,-0.18955350190304585,-0.8345481558467787,2.218500488035823,-0.828965420050539,1.6065587355965376,0.02210810692193946
48.0,-0.1953018973093764,-0.8264689664340434,2.2227913488789257,-0.8401541639975685,1.5922094503961366,0.013309117007086091
49.0,-0.1953018973093764,-0.8264689664340434,2.2227913488789257,-0.8401541639975685,1.5922094503961366,0.013309117007086091
50.0,-0.1953018973093764,-0.8264689664340434,2.2227913488789257,-0.8401541639975685,1.5922094503961366,0.01330911700708609
51.0,-0.1953018973093764,-0.8264689664340434,2.2227913488789257,-0.8401541639975685,1.5922094503961366,0.01330911700708609
52.0,-0.1896227405461385,-0.8149123803768357,2.2235529278733672,-0.8502631358411978,1.6044989112518095,0.021115950240499767
53.0,-0.1896227405461385,-0.8149123803768357,2.2235529278733672,-0.8502631358411978,1.6044989112518095,0.021115950240499767
54.0,-0.18394358378290063,-0.8033557943196278,2.224314506867809,-0.8603721076848272,1.6167883721074827,0.028922783473913444
55.0,-0.18394358378290063,-0.8033557943196278,2.224314506867809,-0.8603721076848272,1.6167883721074827,0.028922783473913444
56.0,-0.17826442701966275,-0.79179920826242,2.2250760858622507,-0.8704810795284565,1.6290778329631557,0.03672961670732712
57.0,-0.17826442701966275,-0.79179920826242,2.2250760858622507,-0.8704810795284565,1.6290778329631557,0.03672961670732712
58.0,-0.17826442701966275,-0.79179920826242,2.2250760858622507,-0.8704810795284565,1.6290778329631557,0.03672961670732712
59.0,-0.17142623593363823,-0.7896382968417652,2.2222910584035693,-0.868307871317015,1.6444607755014589,0.046687982603380966
60.0,-0.17142623593363823,-0.7896382968417652,2.2222910584035693,-0.868307871317015,1.6444607755014589,0.046687982603380966
61.0,-0.16458804484761372,-0.7874773854211103,2.2195060309448875,-0.8661346631055735,1.659843718039762,0.05664634849943481
62.0,-0.16458804484761372,-0.7874773854211103,2.2195060309448875,-0.8661346631055735,1.659843718039762,0.05664634849943481
63.0,-0.1577498537615892,-0.7853164740004555,2.216721003486206,-0.863961454894132,1.6752266605780652,0.06660471439548867
64.0,-0.1577498537615892,-0.7853164740004555,2.216721003486206,-0.863961454894132,1.6752266605780652,0.06660471439548867
65.0,-0.15091166267556466,-0.7831555625798007,2.213935976027525,-0.8617882466826905,1.6906096031163684,0.07656308029154252
66.0,-0.15091166267556466,-0.7831555625798007,2.213935976027525,-0.8617882466826905,1.6906096031163684,0.07656308029154252
67.0,-0.14407347158954015,-0.7809946511591459,2.211150948568843,-0.859615038471249,1.7059925456546716,0.08652144618759636
68.0,-0.14407347158954015,-0.7809946511591459,2.211150948568843,-0.859615038471249,1.7059925456546716,0.08652144618759636
69.0,-0.13723528050351563,-0.778833739738491,2.2083659211101616,-0.8574418302598075,1.7213754881929748,0.09647981208365021
70.0,-0.13723528050351563,-0.778833739738491,2.2083659211101616,-0.8574418302598075,1.7213754881929748,0.09647981208365021
71.0,-0.13039708941749112,-0.7766728283178361,2.20558089365148,-0.855268622048366,1.736758430731278,0.10643817797970405
72.0,-0.13039708941749112,-0.7766728283178361,2.20558089365148,-0.855268622048366,1.736758430731278,0.10643817797970405
73.0,-0.1235588983314666,-0.7745119168971814,2.2027958661927984,-0.8530954138369244,1.7521413732695812,0.1163965438757579
74.0,-0.1235588983314666,-0.7745119168971814,2.2027958661927984,-0.8530954138369244,1.7521413732695812,0.1163965438757579
75.0,-0.1235588983314666,-0.7745119168971814,2.2027958661927984,-0.8530954138369244,1.7521413732695812,0.1163965438757579
76.0,-0.12273305043210914,-0.788227163139963,2.199003409964023,-0.8375945316509403,1.755845560912384,0.11819817284100356
77.0,-0.12273305043210914,-0.788227163139963,2.199003409964023,-0.8375945316509403,1.755845560912384,0.11819817284100356
78.0,-0.12190720253275168,-0.8019424093827446,2.1952109537352475,-0.8220936494649562,1.759549748555187,0.11999980180624924
79.0,-0.12190720253275168,-0.8019424093827446,2.1952109537352475,-0.8220936494649562,1.759549748555187,0.11999980180624924
80.0,-0.12190720253275168,-0.8019424093827446,2.1952109537352475,-0.8220936494649562,1.759549748555187,0.11999980180624924
81.0,-0.12466558389467786,-0.8165636357872168,2.1927122912121626,-0.808070709115678,1.7558285191856327,0.11690600507679241
