pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,1.0089206256377998,-0.006230249780181442,-0.13,0.9999723419909022,0.0,0.0,0.0074374224856488536,5.424569732000236,3.710642285001086,9.135212017001322,9996,9679,68.08107163999739,62.63383437899756,0,0,0,263,0,True,True,
2,1.0141066262372496,-0.01024336581078797,-0.13,0.999647240963479,0.0,0.0,-0.026559247619313754,4.709216923998611,3.876151379001385,8.585368302999996,9996,9679,66.28304652999941,60.742770938999456,0,0,0,263,0,True,True,
3,0.9961335331798806,0.005748653365204314,-0.13,0.9997693000141825,0.0,0.0,0.02147898389476523,4.829164528000547,3.897464399000455,8.726628927001002,9996,9679,66.04830149099871,60.55452995499945,0,0,0,263,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,1.0063869283516433,-0.0035749874085883662,-0.13,0.9997962943228546,0.0,0.0,0.0007857195870334434,4.987650394666464,3.8280860210009755,8.81573641566744,9996.0,9679.0,66.8041398869985,61.31037842433216,0.0,0.0,0.0,263.0,0.0,3,3/3,
STD,0.0075530450797727244,0.006793329229365369,0.0,0.00013408750633677345,0.0,0.0,0.020167660339243606,0.3128053041201913,0.08349983852111731,0.23314821588998227,0.0,0.0,0.907998654439703,0.9389747653580516,0.0,0.0,0.0,0.0,0.0,,,
