pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,0.9854194175037769,0.009563476773224545,-0.13,0.9982688292770531,0.0,0.0,0.05881619244580395,2.8466887140002655,1.7447037570000248,4.59139247100029,4412,4300,51.085004278998895,47.652614111999355,0,0,0,200,0,True,True,
2,0.9948852339358535,0.01327264158216553,-0.13,0.9974585249304528,0.0,0.0,-0.07124949854957065,1.9984513279996463,1.7310892589994182,3.7295405869990645,4412,4300,49.58110341000065,46.181837018000806,0,0,0,200,0,True,True,
3,0.9936573367900727,0.005413320095130333,-0.13,0.9996862960328409,0.0,0.0,0.025046147890230856,2.0652789260002464,1.7401951600004395,3.805474086000686,4412,4300,49.72953135700118,46.305317391001154,0,0,0,200,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,0.9913206627432345,0.009416479483506802,-0.13,0.9984712167467823,0.0,0.0,0.004204280595488053,2.303472989333386,1.7386627253332942,4.0421357146666805,4412.0,4300.0,50.13187968200024,46.713256173667105,0.0,0.0,0.0,200.0,0.0,3,3/3,
STD,0.004202812897914806,0.0032102377597857715,0.0,0.0009206742229063563,0.0,0.0,0.055106312813051464,0.3850791906501438,0.005662738204492682,0.38961837084617923,0.0,0.0,0.676679435141723,0.6661365489947428,0.0,0.0,0.0,0.0,0.0,,,
