pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,1.0025546152680527,0.011479313812093567,-0.13,0.9993740247552898,0.0,0.0,0.03537737475298843,1.158440861001509,0.2025995130006777,1.3610403740021866,550,549,12.909452850999514,11.989162384999872,0,0,0,42,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,1.0025546152680527,0.011479313812093567,-0.13,0.9993740247552898,0.0,0.0,0.03537737475298843,1.158440861001509,0.2025995130006777,1.3610403740021866,550.0,549.0,12.909452850999514,11.989162384999872,0.0,0.0,0.0,42.0,0.0,1,1/1,
STD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
