pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,1.0025546152680527,0.011479313812093567,-0.13,0.9993740247552898,0.0,0.0,0.03537737475298843,1.158440861001509,0.2025995130006777,1.3610403740021866,550,549,12.909452850999514,11.989162384999872,0,0,0,42,0,True,True,
2,1.0111787788844826,-0.010142852513019567,-0.13,0.9985200306341147,0.0,0.0,-0.05438518568918145,0.2930696470011753,0.20160631200087664,0.49467595900205197,550,549,11.417832295001062,10.481023695001568,0,0,0,42,0,True,True,
3,1.0150365266085728,-0.01369154565986444,-0.13,0.999999620184429,0.0,0.0,0.0008715681256740718,0.28827519299920823,0.19851418100006413,0.48678937399927236,550,549,11.298191416999543,10.368527656999504,0,0,0,42,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,1.009589973587036,-0.004118361453596813,-0.13,0.9992978918579446,0.0,0.0,-0.006045414270172983,0.5799285670006308,0.20090666866720616,0.780835235667837,550.0,549.0,11.875158854333373,10.946237912333649,0.0,0.0,0.0,42.0,0.0,3,3/3,
STD,0.005218093801574604,0.011123965451015001,0.0,0.0006064340980373172,0.0,0.0,0.036970373709966683,0.40907464879482414,0.0017396570513698896,0.41027962128930057,0.0,0.0,0.7329854653297284,0.7388876465815047,0.0,0.0,0.0,0.0,0.0,,,
