pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,0.981530018195791,-0.013604325537450772,-0.13,0.9999615040409964,0.0,0.0,0.008774419414886044,1.4030780800021603,0.43096459800290177,1.834042678005062,1158,1158,13.814334941998823,9.792960524006048,0,0,0,18,0,True,True,
2,1.0186804165377956,0.010133733772928633,-0.13,0.9989354808334956,0.0,0.0,-0.04612922210435611,0.5657164250005735,0.4336807670042617,0.9993971920048352,1158,1158,12.848161777001224,8.632273654002347,0,0,0,18,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,1.0001052173667933,-0.0017352958822610693,-0.13,0.999448492437246,0.0,0.0,-0.018677401344735035,0.9843972525013669,0.43232268250358175,1.4167199350049486,1158.0,1158.0,13.331248359500023,9.212617089004198,0.0,0.0,0.0,18.0,0.0,2,2/2,
STD,0.01857519917100231,0.011869029655189703,0.0,0.0005130116037503907,0.0,0.0,0.027451820759621076,0.4186808275007934,0.001358084500679979,0.4173227430001134,0.0,0.0,0.48308658249879954,0.5803434350018506,0.0,0.0,0.0,0.0,0.0,,,
