pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,0.9848619438554699,0.004322129505433488,-0.13,0.9966896673002393,0.0,0.0,-0.0813001051471535,1.8926841299999069,0.9113242990006256,2.8040084290005325,2426,2357,23.574231757000234,21.83047995800007,0,0,0,78,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,0.9848619438554699,0.004322129505433488,-0.13,0.9966896673002393,0.0,0.0,-0.0813001051471535,1.8926841299999069,0.9113242990006256,2.8040084290005325,2426.0,2357.0,23.574231757000234,21.83047995800007,0.0,0.0,0.0,78.0,0.0,1,1/1,
STD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
