pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,1.0089206256377998,-0.006230249780181442,-0.13,0.9999723419909022,0.0,0.0,0.0074374224856488536,5.424569732000236,3.710642285001086,9.135212017001322,9996,9679,68.08107163999739,62.63383437899756,0,0,0,263,0,True,True,
2,1.0141066262372496,-0.01024336581078797,-0.13,0.999647240963479,0.0,0.0,-0.026559247619313754,4.709216923998611,3.876151379001385,8.585368302999996,9996,9679,66.28304652999941,60.742770938999456,0,0,0,263,0,True,True,
3,0.9961335331798806,0.005748653365204314,-0.13,0.9997693000141825,0.0,0.0,0.02147898389476523,4.829164528000547,3.897464399000455,8.726628927001002,9996,9679,66.04830149099871,60.55452995499945,0,0,0,263,0,True,True,
4,1.008298734857828,0.0033129273950051018,-0.13,0.999186977137956,0.0,0.0,-0.04031606029752514,4.692331682999793,3.703256897002575,8.395588580002368,9996,9679,65.85003268400033,60.237912229997164,0,0,0,263,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,1.0068648799781896,-0.0018530087076899992,-0.13,0.99964396502663,0.0,0.0,-0.009489725384106203,4.913820716749797,3.7968787400013753,8.710699456751172,9996.0,9679.0,66.56561308624896,61.04226187574841,0.0,0.0,0.0,263.0,0.0,4,4/4,
STD,0.0065933057531684085,0.006596030886294824,0.0,0.0002882659154003413,0.0,0.0,0.024936022151379352,0.2995627358970584,0.09028206043812637,0.2717845767232656,0.0,0.0,0.8882743221413485,0.9364372153848812,0.0,0.0,0.0,0.0,0.0,,,
