pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,0.9926876477588219,0.01533653227962532,-0.13,0.9983908273867236,0.0,0.0,-0.056707634318964924,0.8667203029999655,0.03561611300028744,0.9023364160002529,85,85,8.597587077998469,6.55295276400102,0,0,0,12,0,True,True,
2,1.0130583929151726,-0.0034603150264155558,-0.13,0.9980855314944402,0.0,0.0,0.06184878189148683,0.07836403799956315,0.031507379999311524,0.10987141799887468,85,85,6.886539422999704,4.911372855996888,0,0,0,12,0,True,True,
3,1.0023149931389446,-0.015503553070054021,-0.13,0.9995139154567393,0.0,0.0,-0.031175836930839376,0.0825061880004796,0.03142923700033862,0.11393542500081821,85,85,6.9348859380006616,4.933284519998779,0,0,0,12,0,True,True,
4,1.0065044887205055,0.011746741069480243,-0.13,0.998950761928357,0.0,0.0,0.0457971095458555,0.0800494630002504,0.03212270800031547,0.11217217100056587,85,85,6.985786187000485,4.983816875001139,0,0,0,12,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,1.0036413806333613,0.002029851313158996,-0.13,0.998735259066565,0.0,0.0,0.004940605046884507,0.27690999800006466,0.03266885950006326,0.3095788575001279,85.0,85.0,7.35119965649983,5.345356753749456,0.0,0.0,0.0,12.0,0.0,4,4/4,
STD,0.007392920192768317,0.012339447927088238,0.0,0.0005462431595583838,0.0,0.0,0.050031733304199875,0.34053032379634146,0.0017226638694004212,0.3422317698234722,0.0,0.0,0.7204572945304549,0.6977006444811463,0.0,0.0,0.0,0.0,0.0,,,
