pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,1.019605551622779,-0.010542104384761997,-0.13,0.9996149371018354,0.0,0.0,0.027748468838727544,0.9317241209992062,0.056226721999337315,0.9879508429985435,141,141,8.417858953000177,7.84112948999973,0,0,0,21,0,True,True,
2,0.9922374219614074,0.004769238678797593,-0.13,0.9993346610214915,0.0,0.0,-0.03647239066829507,0.10623741600102221,0.051775833999272436,0.15801325000029465,141,141,6.975305635000041,6.384922554998411,0,0,0,21,0,True,True,
3,0.9918754047355955,-0.00013882700128692999,-0.13,0.9991169378556128,0.0,0.0,0.0420160027849325,0.10518934200081276,0.051773891998891486,0.15696323399970424,141,141,6.901670425000702,6.323207954001191,0,0,0,21,0,True,True,
4,1.0074304785706207,0.0009715966587398352,-0.13,0.9998168375725601,0.0,0.0,-0.019138738370250357,0.10790895999889472,0.053132469998672605,0.16104142999756732,141,141,6.885911837998719,6.296206678998715,0,0,0,21,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,1.0027872142226006,-0.0012350240121278746,-0.13,0.9994708433878751,0.0,0.0,0.003538335646278653,0.312764959749984,0.05322722949904346,0.36599218924902743,141.0,141.0,7.29518671274991,6.711366669499512,0.0,0.0,0.0,21.0,0.0,4,4/4,
STD,0.011562677887786886,0.005673264893251243,0.0,0.0002665847599349911,0.0,0.0,0.032333300650413094,0.35735755460717783,0.0018182872028596846,0.35909111796148346,0.0,0.0,0.6490527433802071,0.6530610225329148,0.0,0.0,0.0,0.0,0.0,,,
