pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,1.019605551622779,-0.010542104384761997,-0.13,0.9996149371018354,0.0,0.0,0.027748468838727544,0.9317241209992062,0.056226721999337315,0.9879508429985435,141,141,8.417858953000177,7.84112948999973,0,0,0,21,0,True,True,
2,0.9922374219614074,0.004769238678797593,-0.13,0.9993346610214915,0.0,0.0,-0.03647239066829507,0.10623741600102221,0.051775833999272436,0.15801325000029465,141,141,6.975305635000041,6.384922554998411,0,0,0,21,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,1.0059214867920931,-0.0028864328529822018,-0.13,0.9994747990616635,0.0,0.0,-0.004361960914783764,0.5189807685001142,0.054001277999304875,0.5729820464994191,141.0,141.0,7.696582294000109,7.113026022499071,0.0,0.0,0.0,21.0,0.0,2,2/2,
STD,0.01368406483068585,0.007655671531779795,0.0,0.0001401380401719332,0.0,0.0,0.032110429753511305,0.412743352499092,0.0022254440000324394,0.41496879649912444,0.0,0.0,0.7212766590000683,0.7281034675006595,0.0,0.0,0.0,0.0,0.0,,,
