pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,0.9955236498067384,-0.00540004638786439,-0.13,0.9982632836387648,0.0,0.0,-0.05891024137406813,1.6112580930002878,0.5648623399993085,2.1761204329995962,1561,1492,16.62631645900001,15.380144952001501,0,0,0,52,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,0.9955236498067384,-0.00540004638786439,-0.13,0.9982632836387648,0.0,0.0,-0.05891024137406813,1.6112580930002878,0.5648623399993085,2.1761204329995962,1561.0,1492.0,16.62631645900001,15.380144952001501,0.0,0.0,0.0,52.0,0.0,1,1/1,
STD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
