pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,1.0025546152680527,0.011479313812093567,-0.13,0.9993740247552898,0.0,0.0,0.03537737475298843,1.158440861001509,0.2025995130006777,1.3610403740021866,550,549,12.909452850999514,11.989162384999872,0,0,0,42,0,True,True,
2,1.0111787788844826,-0.010142852513019567,-0.13,0.9985200306341147,0.0,0.0,-0.05438518568918145,0.2930696470011753,0.20160631200087664,0.49467595900205197,550,549,11.417832295001062,10.481023695001568,0,0,0,42,0,True,True,
3,1.0150365266085728,-0.01369154565986444,-0.13,0.999999620184429,0.0,0.0,0.0008715681256740718,0.28827519299920823,0.19851418100006413,0.48678937399927236,550,549,11.298191416999543,10.368527656999504,0,0,0,42,0,True,True,
4,1.0099081801247078,0.014127828774689499,-0.13,0.9983887175228168,0.0,0.0,-0.056744768244704064,0.29344002600009844,0.1993471009991481,0.49278712699924654,550,549,11.467715642998883,10.49771360199884,0,0,0,42,0,True,True,
5,1.001284607329279,0.013172802972268489,-0.13,0.9984240705155344,0.0,0.0,0.056119296282037545,0.29436701200029347,0.20275712199872942,0.4971241339990229,550,549,19.703356468000493,18.842713141000786,0,0,0,42,1,True,True,
6,0.9887107018494562,0.00868794877828671,-0.13,0.9983314540995242,0.0,0.0,0.05774346504609531,0.29370737099998223,0.2100920650009357,0.5037994360009179,550,549,19.95089139800075,19.071475795999504,0,0,0,42,1,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,1.0047789016774251,0.0039389160274090436,-0.13,0.9988396529519515,0.0,0.0,0.006496958378818306,0.43688335166704445,0.20248604900007194,0.6393694006671163,550.0,549.0,14.457906678666708,13.541769379333346,0.0,0.0,0.0,42.0,0.3333333333333333,6,6/6,
STD,0.008639361315294292,0.011384337972516942,0.0,0.0006281657460415612,0.0,0.0,0.04771522430466534,0.3226965194367869,0.003749233281734036,0.32278092274171105,0.0,0.0,3.8351972808556836,3.868508520644024,0.0,0.0,0.0,0.0,0.4714045207910317,,,
