ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
-0.33652335,-0.7863922,2.2628977,-0.87291545,1.2838839,-0.19268005
-0.34999457,-0.80064726,2.256958,-0.84750736,1.2471839,-0.21815766
-0.37651235,-0.81452805,2.246346,-0.8091263,1.1800357,-0.2669458
-0.36719474,-0.8351074,2.2423675,-0.7917195,1.1954445,-0.25367358
-0.4050379,-0.83797204,2.2273157,-0.74788564,1.1005156,-0.32631075
-0.40468886,-0.8587741,2.2183924,-0.7187505,1.0906261,-0.33181193
-0.4458785,-0.8329718,2.2001846,-0.67841357,0.9932319,-0.42245474
-0.43431017,-0.81342,2.218381,-0.73154604,1.0362352,-0.38606638
-0.44223174,-0.79445136,2.2204995,-0.74387586,1.0263149,-0.3982487
-0.45491436,-0.777521,2.2179165,-0.74403095,1.0047257,-0.4215335
-0.48258424,-0.7826264,2.1903558,-0.6703847,0.9275068,-0.49883094
-0.49530149,-0.75406873,2.19018,-0.68128514,0.91272557,-0.5220558
-0.513751,-0.75678456,2.1616235,-0.6069743,0.85492283,-0.59226906
-0.5247803,-0.7354193,2.1582932,-0.60782343,0.8418699,-0.61526823
-0.5567218,-0.7077453,2.1121805,-0.50089216,0.7630566,-0.74234945
-0.5409339,-0.74716485,2.1119127,-0.48342165,0.7700186,-0.7164259
-0.5359597,-0.7655653,2.1033878,-0.4555353,0.76339406,-0.7205586
-0.5447211,-0.763021,2.0722399,-0.37666845,0.72304785,-0.7907424
-0.53517985,-0.7833432,2.0777724,-0.38607156,0.7355128,-0.7600779
-0.51394707,-0.7992531,2.1262796,-0.5033884,0.8080762,-0.6408452
-0.49959618,-0.7983589,2.1545186,-0.5738856,0.85899895,-0.57576144
-0.5105869,-0.77911586,2.1503098,-0.5695816,0.84204125,-0.60255533
-0.4439974,-0.74102753,2.043558,-0.17133646,1.1357858,-0.73064274
-0.36626,-0.7433129,2.0050628,-0.04629337,1.330651,-0.5699727
-0.31915063,-0.69450724,1.9026246,0.25477907,1.5044754,-1.888166
-0.32784954,-0.6936164,1.8911006,0.25592706,1.4887205,-0.60750127
-0.3487652,-0.6911081,1.8885189,0.26059663,1.4730011,-0.7114249
-0.36709815,-0.6835718,1.8669769,0.2846315,1.4580972,-0.8286846
-0.3790121,-0.67572254,1.8547403,0.3135116,1.4702002,-1.9494182
-0.3912598,-0.6723801,1.8415776,0.31851813,1.444357,-0.98717755
-0.39541027,-0.66266733,1.8136178,0.35082597,1.4447552,-1.0680112
-0.4116645,-0.6542287,1.7956469,0.3725533,1.4331684,-1.1777335
-0.4173165,-0.64438295,1.7717991,0.40308684,1.4467622,-1.9898481
-0.4124383,-0.63880885,1.7519466,0.42014754,1.4379561,-1.9854261
-0.42076066,-0.6311984,1.7336587,0.43783343,1.4244597,-1.3645207
-0.4278418,-0.62278146,1.7149143,0.46013096,1.432144,-2.0017772
-0.42906868,-0.6138676,1.6920258,0.48285073,1.3968648,-1.5142988
-0.4292423,-0.5991503,1.6538883,0.5210004,1.4373046,-2.0035412
-0.42813355,-0.58634996,1.6212082,0.5523308,1.4328446,-2.0028906
-0.42440793,-0.57314223,1.5869422,0.5835173,1.44107,-1.9988372
-0.42054603,-0.5612068,1.5560007,0.6104773,1.4470636,-1.9947063
-0.42610842,-0.55738086,1.555737,0.6260312,1.3834747,-1.8512516
-0.41627768,-0.5506735,1.530191,0.6353741,1.4436587,-1.9906453
-0.40961918,-0.5370879,1.4950144,0.6641333,1.4519125,-1.9835039
-0.40999964,-0.515391,1.4565471,0.7251039,1.3812286,-2.0409503
-0.39543077,-0.51365536,1.4361789,0.7138501,1.4596375,-1.9687562
-0.39140025,-0.50178736,1.4160433,0.7529352,1.4203122,-2.1436398
-0.38416395,-0.49755475,1.397078,0.748456,1.4616672,-1.9571912
-0.37497038,-0.49197847,1.3845917,0.76762885,1.4516022,-2.2169883
-0.37011006,-0.47963178,1.3533798,0.78532803,1.4686747,-1.9425392
-0.36138383,-0.46956444,1.3284049,0.80460787,1.4747543,-1.9334041
-0.34973165,-0.4532517,1.2948976,0.847283,1.4656136,-2.4173512
-0.33666864,-0.44789237,1.2782652,0.85581654,1.4790257,-2.4725833
-0.33177835,-0.44095883,1.2577193,0.85732836,1.4948767,-1.9026505
-0.31736925,-0.42357418,1.2228572,0.90338254,1.48947,-2.5920584
-0.29841924,-0.42038494,1.2099675,0.9063068,1.505079,-1.8683302
-0.28707334,-0.40572894,1.1731867,0.9222149,1.5193236,-1.8567983
-0.27421767,-0.39719832,1.1534292,0.9387261,1.525336,-1.8436854
-0.26675686,-0.36396953,1.1067356,1.0539486,1.5013496,-2.8483872
-0.24697456,-0.38059837,1.1172833,0.9752389,1.5395197,-2.9249372
-0.2308519,-0.37631977,1.1035433,0.9747256,1.5517161,-1.7999045
-0.21755719,-0.36531126,1.0896071,1.0217189,1.5571009,-3.0643885
-0.19815451,-0.3632001,1.0786368,1.0108907,1.5728431,3.12854
-0.18332405,-0.36551756,1.0767783,0.99038833,1.5815164,-1.7525517
-0.16856843,-0.36526698,1.0746856,0.98730946,1.5900371,-1.7380177
-0.15530048,-0.36822435,1.0796776,0.9784889,1.5971794,-1.7249916
-0.14720786,-0.37068698,1.0894474,0.9867145,1.6086491,-1.7166847
-0.13509959,-0.3750255,1.0919333,0.9595152,1.6052511,-1.7051653
-0.11716991,-0.37978712,1.1104511,0.9706763,1.6337163,2.6949458
-0.10730925,-0.38973817,1.1235714,0.9296004,1.6193331,-1.6777226
-0.09308974,-0.39974454,1.1437415,0.9049486,1.6202244,-1.663683
-0.08346948,-0.40888947,1.1651714,0.88987076,1.6269516,-1.6541314
-0.078846276,-0.42464396,1.1992544,0.85934484,1.6308973,-1.6496042
-0.069405235,-0.4350615,1.2216899,0.8354701,1.6237097,-1.6401943
-0.059378587,-0.43296283,1.2175667,0.8372105,1.6238723,-1.6301718
-0.056902755,-0.44615585,1.2481546,0.8143871,1.6260552,-1.6277187
-0.05083724,-0.46069264,1.2808893,0.7845972,1.6281275,-1.6216826
-0.04135365,-0.45587012,1.2704737,0.7919324,1.6208673,-1.6121724
-0.03937746,-0.47567022,1.3166838,0.75530803,1.6181445,-1.6102033
-0.028649453,-0.478246,1.323862,0.7495656,1.6179465,-1.5994681
-0.029320862,-0.49067798,1.3535047,0.7268632,1.6165341,-1.6001419
-0.025041277,-0.5001173,1.3769045,0.7090362,1.613851,-1.5958576
-0.02030356,-0.5133945,1.4101746,0.68416625,1.6112026,-1.5911152
-0.02722331,-0.52556604,1.4398277,0.66105723,1.5949783,-1.5980272
-0.015784048,-0.5320396,1.4579787,0.6493736,1.6078439,-1.586591
-0.02397182,-0.5420512,1.482676,0.62984186,1.6072747,-1.5947841
-0.014184056,-0.5454005,1.4929641,0.62411094,1.6087387,-1.5849906
-0.010797851,-0.5563187,1.5220741,0.6025785,1.6109827,-1.5816029
-0.00011546394,-0.5546587,1.52301,0.60193616,1.7106292,-1.570913
0.016046923,-0.5400506,1.4915197,0.6227216,1.7775581,1.5873291
-0.015002119,-0.5730902,1.566729,0.56949335,1.6095198,-1.5858094
-0.018611124,-0.5821773,1.5911801,0.5508135,1.610827,-1.5894214
-0.024389973,-0.5901688,1.6127619,0.5346178,1.6115763,-1.5952047
-0.025312083,-0.6022733,1.6460326,0.5069679,1.6150014,-1.5961286
-0.038281806,-0.61326677,1.6755038,0.48263967,1.6160043,-1.6091061
-0.045524627,-0.6244562,1.7061884,0.45543674,1.618212,-1.6163497
-0.055588163,-0.6346788,1.734531,0.4298038,1.6179231,-1.6264051
-0.06764342,-0.64399517,1.7595557,0.40524104,1.6185292,-1.6384432
-0.05727128,-0.6595172,1.7816678,0.32713777,1.7005618,0.8143828
-0.08589585,-0.6554627,1.788259,0.37254733,1.6206381,-1.6566392
-0.10789166,-0.66739196,1.8219426,0.33900407,1.6131816,-1.6785026
