time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.0,-0.25291785803796,-0.7402042799124486,2.1224519531157586,-0.8445374422695198,1.352357726163821,-0.1285139631207366
1.0,-0.25939324880338577,-0.7358909046740729,2.1216371977479547,-0.8472795241738258,1.3467986070899371,-0.13191974426690228
2.0,-0.26586863956881157,-0.7315775294356972,2.120822442380151,-0.8500216060781318,1.341239488016053,-0.135325525413068
3.0,-0.26586863956881157,-0.7315775294356972,2.120822442380151,-0.8500216060781318,1.341239488016053,-0.135325525413068
4.0,-0.2734160111959055,-0.7326211842408484,2.120757988556159,-0.8479088654035586,1.3347762553009281,-0.1393506043408757
5.0,-0.2809633828229994,-0.7336648390459997,2.1206935347321667,-0.8457961247289854,1.328313022585803,-0.14337568326868338
6.0,-0.2885107544500933,-0.7347084938511509,2.1206290809081745,-0.8436833840544121,1.3218497898706782,-0.1474007621964911
7.0,-0.29605812607718723,-0.7357521486563021,2.1205646270841827,-0.8415706433798388,1.3153865571555534,-0.1514258411242988
8.0,-0.30360549770428114,-0.7367958034614533,2.1205001732601905,-0.8394579027052655,1.3089233244404286,-0.15545092005210648
9.0,-0.31115286933137504,-0.7378394582666046,2.1204357194361982,-0.8373451620306923,1.3024600917253035,-0.15947599897991419
10.0,-0.31870024095846894,-0.7388831130717558,2.120371265612206,-0.8352324213561191,1.2959968590101787,-0.1635010779077219
11.0,-0.31870024095846894,-0.7388831130717558,2.120371265612206,-0.8352324213561191,1.2959968590101787,-0.1635010779077219
12.0,-0.32585623733044844,-0.7356082819053623,2.1192792234799924,-0.836340628808755,1.2898862006883507,-0.1673770367035078
13.0,-0.3330122337024279,-0.7323334507389688,2.1181871813477793,-0.837448836261391,1.2837755423665227,-0.17125299549929365
14.0,-0.3330122337024279,-0.7323334507389688,2.1181871813477793,-0.837448836261391,1.2837755423665227,-0.17125299549929365
15.0,-0.3415850590209407,-0.7332765784243614,2.117407316015068,-0.8343091242912422,1.2764753818519434,-0.1759657696344839
16.0,-0.3501578843394536,-0.7342197061097541,2.116627450682357,-0.8311694123210933,1.2691752213373642,-0.18067854376967418
17.0,-0.35873070965796644,-0.7351628337951466,2.1158475853496457,-0.8280297003509444,1.261875060822785,-0.18539131790486443
18.0,-0.36730353497647933,-0.7361059614805392,2.1150677200169348,-0.8248899883807955,1.2545749003082058,-0.1901040920400547
19.0,-0.37587636029499216,-0.7370490891659318,2.1142878546842234,-0.8217502764106467,1.2472747397936266,-0.19481686617524496
20.0,-0.37587636029499216,-0.7370490891659318,2.1142878546842234,-0.8217502764106467,1.2472747397936266,-0.19481686617524496
21.0,-0.38214767584106746,-0.7366134338091015,2.1133044560946583,-0.8200719160328895,1.2419500803628272,-0.19831769437861496
22.0,-0.38841899138714275,-0.7361777784522712,2.112321057505093,-0.8183935556551323,1.236625420932028,-0.201818522581985
23.0,-0.38841899138714275,-0.7361777784522712,2.112321057505093,-0.8183935556551323,1.236625420932028,-0.201818522581985
24.0,-0.39555470061756737,-0.7361163839804896,2.1111612846645853,-0.8159553366339846,1.230576171737511,-0.20583353185093256
25.0,-0.402690409847992,-0.7360549895087081,2.1100015118240782,-0.8135171176128368,1.2245269225429942,-0.2098485411198801
26.0,-0.402690409847992,-0.7360549895087081,2.1100015118240782,-0.8135171176128368,1.2245269225429942,-0.2098485411198801
27.0,-0.40205213434669057,-0.7352594639400507,2.1073567451376594,-0.8063220197636447,1.2263590357929615,-0.21854168464142473
28.0,-0.40141385884538916,-0.7344639383713935,2.1047119784512405,-0.7991269219144524,1.2281911490429287,-0.2272348281629694
29.0,-0.4007755833440877,-0.7336684128027361,2.1020672117648216,-0.7919318240652603,1.2300232622928957,-0.23592797168451402
30.0,-0.4001373078427863,-0.7328728872340788,2.0994224450784027,-0.784736726216068,1.231855375542863,-0.24462111520605867
31.0,-0.39949903234148487,-0.7320773616654215,2.096777678391984,-0.7775416283668759,1.2336874887928302,-0.25331425872760327
32.0,-0.39886075684018346,-0.7312818360967642,2.094132911705565,-0.7703465305176838,1.2355196020427974,-0.2620074022491479
33.0,-0.39822248133888205,-0.7304863105281069,2.091488145019146,-0.7631514326684915,1.2373517152927644,-0.2707005457706926
34.0,-0.39758420583758064,-0.7296907849594496,2.088843378332727,-0.7559563348192994,1.2391838285427317,-0.2793936892922372
35.0,-0.3969459303362792,-0.7288952593907922,2.086198611646308,-0.7487612369701072,1.241015941792699,-0.28808683281378183
36.0,-0.39630765483497776,-0.728099733822135,2.083553844959889,-0.741566139120915,1.2428480550426662,-0.2967799763353265
37.0,-0.39566937933367635,-0.7273042082534776,2.08090907827347,-0.7343710412717228,1.2446801682926332,-0.30547311985687114
38.0,-0.39503110383237494,-0.7265086826848204,2.078264311587051,-0.7271759434225307,1.2465122815426004,-0.3141662633784158
39.0,-0.39439282833107353,-0.725713157116163,2.0756195449006323,-0.7199808455733384,1.2483443947925676,-0.3228594068999604
40.0,-0.3937545528297721,-0.7249176315475058,2.0729747782142134,-0.7127857477241463,1.2501765080425349,-0.33155255042150505
41.0,-0.39311627732847065,-0.7241221059788484,2.0703300115277945,-0.705590649874954,1.252008621292502,-0.3402456939430497
42.0,-0.39247800182716924,-0.7233265804101912,2.0676852448413756,-0.6983955520257619,1.2538407345424691,-0.3489388374645943
43.0,-0.39183972632586783,-0.7225310548415338,2.0650404781549567,-0.6912004541765697,1.2556728477924364,-0.35763198098613896
44.0,-0.3912014508245664,-0.7217355292728765,2.062395711468538,-0.6840053563273775,1.2575049610424036,-0.3663251245076836
45.0,-0.390563175323265,-0.7209400037042192,2.059750944782119,-0.6768102584781853,1.2593370742923706,-0.3750182680292282
46.0,-0.3899248998219636,-0.7201444781355619,2.0571061780957,-0.6696151606289931,1.2611691875423379,-0.3837114115507729
47.0,-0.38928662432066213,-0.7193489525669046,2.054461411409281,-0.6624200627798009,1.263001300792305,-0.39240455507231753
48.0,-0.3886483488193607,-0.7185534269982473,2.0518166447228623,-0.6552249649306088,1.2648334140422723,-0.40109769859386213
49.0,-0.3880100733180593,-0.71775790142959,2.0491718780364434,-0.6480298670814165,1.2666655272922394,-0.4097908421154068
50.0,-0.3873717978167579,-0.7169623758609327,2.0465271113500245,-0.6408347692322244,1.2684976405422066,-0.41848398563695144
51.0,-0.3867335223154565,-0.7161668502922753,2.0438823446636056,-0.6336396713830321,1.2703297537921738,-0.42717712915849604
52.0,-0.3860952468141551,-0.7153713247236181,2.0412375779771867,-0.62644457353384,1.272161867042141,-0.4358702726800407
53.0,-0.3854569713128536,-0.7145757991549607,2.0385928112907674,-0.6192494756846478,1.273993980292108,-0.44456341620158535
54.0,-0.3848186958115522,-0.7137802735863035,2.0359480446043485,-0.6120543778354557,1.2758260935420753,-0.45325655972312995
55.0,-0.3841804203102508,-0.7129847480176461,2.0333032779179296,-0.6048592799862634,1.2776582067920426,-0.4619497032446746
56.0,-0.3835421448089494,-0.7121892224489889,2.0306585112315108,-0.5976641821370713,1.2794903200420098,-0.47064284676621926
57.0,-0.38290386930764797,-0.7113936968803315,2.028013744545092,-0.590469084287879,1.2813224332919768,-0.4793359902877639
58.0,-0.38226559380634656,-0.7105981713116742,2.025368977858673,-0.5832739864386869,1.283154546541944,-0.4880291338093085
59.0,-0.3816273183050451,-0.7098026457430169,2.022724211172254,-0.5760788885894947,1.2849866597919113,-0.49672227733085317
60.0,-0.3809890428037437,-0.7090071201743596,2.020079444485835,-0.5688837907403025,1.2868187730418785,-0.5054154208523978
61.0,-0.38035076730244227,-0.7082115946057023,2.0174346777994163,-0.5616886928911103,1.2886508862918455,-0.5141085643739425
62.0,-0.37971249180114086,-0.707416069037045,2.0147899111129974,-0.5544935950419181,1.2904829995418128,-0.5228017078954871
63.0,-0.37907421629983945,-0.7066205434683877,2.0121451444265785,-0.5472984971927259,1.29231511279178,-0.5314948514170317
64.0,-0.37843594079853804,-0.7058250178997304,2.0095003777401597,-0.5401033993435338,1.2941472260417473,-0.5401879949385764
65.0,-0.3777976652972366,-0.705029492331073,2.0068556110537408,-0.5329083014943417,1.2959793392917143,-0.548881138460121
66.0,-0.37715938979593516,-0.7042339667624158,2.004210844367322,-0.5257132036451494,1.2978114525416815,-0.5575742819816656
67.0,-0.37652111429463375,-0.7034384411937584,2.001566077680903,-0.5185181057959571,1.2996435657916487,-0.5662674255032103
68.0,-0.37588283879333234,-0.7026429156251012,1.998921310994484,-0.511323007946765,1.301475679041616,-0.5749605690247549
69.0,-0.37524456329203093,-0.7018473900564438,1.996276544308065,-0.5041279100975729,1.3033077922915832,-0.5836537125462995
70.0,-0.3746062877907295,-0.7010518644877866,1.9936317776216461,-0.49693281224838065,1.3051399055415502,-0.5923468560678442
71.0,-0.37396801228942805,-0.7002563389191292,1.9909870109352272,-0.48973771439918845,1.3069720187915175,-0.6010399995893889
72.0,-0.37332973678812664,-0.6994608133504719,1.9883422442488083,-0.48254261654999625,1.3088041320414847,-0.6097331431109334
73.0,-0.37269146128682523,-0.6986652877818146,1.9856974775623895,-0.4753475187008041,1.310636245291452,-0.6184262866324781
74.0,-0.3720531857855238,-0.6978697622131573,1.9830527108759703,-0.4681524208516119,1.312468358541419,-0.6271194301540228
75.0,-0.3714149102842224,-0.6970742366445,1.9804079441895515,-0.4609573230024197,1.3143004717913862,-0.6358125736755673
76.0,-0.370776634782921,-0.6962787110758427,1.9777631775031326,-0.4537622251532275,1.3161325850413534,-0.644505717197112
77.0,-0.37013835928161953,-0.6954831855071854,1.9751184108167137,-0.44656712730403536,1.3179646982913207,-0.6531988607186567
78.0,-0.3695000837803181,-0.6946876599385281,1.9724736441302948,-0.43937202945484316,1.3197968115412877,-0.6618920042402012
79.0,-0.3688618082790167,-0.6938921343698707,1.969828877443876,-0.43217693160565096,1.321628924791255,-0.6705851477617459
80.0,-0.3682235327777153,-0.6930966088012135,1.967184110757457,-0.42498183375645876,1.3234610380412222,-0.6792782912832906
81.0,-0.3675852572764139,-0.6923010832325561,1.9645393440710381,-0.41778673590726656,1.3252931512911894,-0.6879714348048352
82.0,-0.3669469817751124,-0.6915055576638989,1.9618945773846193,-0.4105916380580744,1.3271252645411564,-0.6966645783263798
83.0,-0.366308706273811,-0.6907100320952415,1.9592498106982001,-0.4033965402088822,1.3289573777911237,-0.7053577218479246
84.0,-0.3656704307725096,-0.6899145065265843,1.9566050440117813,-0.39620144235969,1.330789491041091,-0.714050865369469
85.0,-0.3650321552712082,-0.6891189809579269,1.9539602773253624,-0.3890063445104978,1.3326216042910581,-0.7227440088910138
86.0,-0.3643938797699068,-0.6883234553892696,1.9513155106389435,-0.38181124666130567,1.3344537175410252,-0.7314371524125585
87.0,-0.36375560426860537,-0.6875279298206123,1.9486707439525246,-0.37461614881211347,1.3362858307909924,-0.740130295934103
88.0,-0.36311732876730396,-0.686732404251955,1.9460259772661057,-0.36742105096292127,1.3381179440409596,-0.7488234394556477
89.0,-0.3624790532660025,-0.6859368786832977,1.9433812105796868,-0.36022595311372907,1.3399500572909269,-0.7575165829771924
90.0,-0.3618407777647011,-0.6851413531146404,1.940736443893268,-0.3530308552645369,1.3417821705408939,-0.7662097264987369
91.0,-0.36120250226339967,-0.684345827545983,1.9380916772068488,-0.3458357574153447,1.3436142837908611,-0.7749028700202816
92.0,-0.36056422676209826,-0.6835503019773257,1.93544691052043,-0.3386406595661525,1.3454463970408284,-0.7835960135418263
93.0,-0.35992595126079685,-0.6827547764086684,1.932802143834011,-0.3314455617169603,1.3472785102907956,-0.7922891570633708
94.0,-0.3592876757594954,-0.6819592508400112,1.9301573771475922,-0.3242504638677682,1.3491106235407626,-0.8009823005849155
95.0,-0.358649400258194,-0.6811637252713538,1.9275126104611733,-0.317055366018576,1.3509427367907298,-0.8096754441064602
96.0,-0.35801112475689256,-0.6803681997026965,1.9248678437747544,-0.30986026816938383,1.352774850040697,-0.8183685876280049
97.0,-0.35737284925559115,-0.6795726741340392,1.9222230770883355,-0.3026651703201916,1.3546069632906643,-0.8270617311495494
98.0,-0.35673457375428974,-0.6787771485653818,1.9195783104019166,-0.29547007247099943,1.3564390765406316,-0.8357548746710941
99.0,-0.35609629825298833,-0.6779816229967246,1.9169335437154977,-0.2882749746218072,1.3582711897905986,-0.8444480181926388
100.0,-0.3554580227516869,-0.6771860974280672,1.9142887770290786,-0.28107987677261503,1.3601033030405658,-0.8531411617141833
