time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
0.0,-0.3359829783439636,-0.7668655514717102,2.252406597137451,-0.8565109968185425,1.2864158153533936,-0.2013789564371109,0.7497077584266663,-0.00305670197121799,-0.1075749471783638,0.6220296587641916,0.6288432985726112,0.3316670834237174,0.3280733991521199
1.0,-0.31511402130126953,-0.7774113416671753,2.213275671005249,-0.7016927599906921,1.3372806310653687,-0.20586952567100525,0.7551668882369995,0.002797664375975728,-0.09997104853391647,0.6442318136106535,0.6409833366280151,0.29430053939347656,0.29579202999718185
2.0,-0.3348340690135956,-0.7784940600395203,2.191107988357544,-0.6217165589332581,1.308316707611084,-0.2565639317035675,0.7592563629150391,-0.00896163284778595,-0.09596747905015945,0.639497930014209,0.6590591165445315,0.28408000566591807,0.27564837889589644
3.0,-0.3400665819644928,-0.7779951691627502,2.155015230178833,-0.49893617630004883,1.3109577894210815,-0.3002246916294098,0.7656261920928955,-0.015625905245542526,-0.0902484878897667,0.6420438983473062,0.6779543859854187,0.2599282211674517,0.24616011650722897
4.0,-0.35125911235809326,-0.7742592096328735,2.1252527236938477,-0.4043034613132477,1.3010998964309692,-0.35437023639678955,0.7713618874549866,-0.02481408603489399,-0.0859454944729805,0.6365787526875069,0.6970247539599462,0.24369834882848326,0.22256481925984056
5.0,-0.39617598056793213,-0.7676004767417908,2.115806818008423,-0.38851189613342285,1.2221907377243042,-0.45367223024368286,0.7749403715133667,-0.049143873155117035,-0.08601471781730652,0.6068383362464196,0.7187652343080907,0.25925569323392955,0.21888411805680963
6.0,-0.4728662371635437,-0.7388731837272644,2.073692798614502,-0.2988889217376709,1.0390510559082031,-0.7078526020050049,0.7844754457473755,-0.08766516298055649,-0.08730621635913849,0.5218245993803882,0.7736093450223354,0.29802119400745003,0.20102496535998896
7.0,-0.5151774287223816,-0.6940073370933533,1.9686188697814941,-0.0508137121796608,0.9779012203216553,-0.9963938593864441,0.8107060194015503,-0.12894520163536072,-0.08382771909236908,0.44506283583473416,0.8317856807709991,0.2925009818321854,0.15650823956034304
8.0,-0.5203086733818054,-0.6804969310760498,1.9341799020767212,0.024249771609902382,0.9804674983024597,-1.0743404626846313,0.8208931684494019,-0.1397043913602829,-0.08243106305599213,0.4236534729490365,0.8474728332289285,0.28609864146202685,0.1430213241119499
9.0,-0.46999770402908325,-0.7054136395454407,1.9515061378479004,0.017864614725112915,1.1305322647094727,-0.9314950704574585,0.8153932690620422,-0.11498758941888809,-0.07662756741046906,0.47953344914005386,0.8374012002326175,0.22763010740871745,0.1303511994801388
10.0,-0.4475303888320923,-0.6938722729682922,1.9019755125045776,0.13550309836864471,1.229612112045288,-0.9661962389945984,0.8294262886047363,-0.11790887266397476,-0.07127930968999863,0.4750152219875267,0.856406598948473,0.17691562222017712,0.09812817522046179
11.0,-0.42299455404281616,-0.6802096366882324,1.8548332452774048,0.23866620659828186,1.3322339057922363,-0.9790394902229309,0.8429630994796753,-0.11906202882528305,-0.06685949116945267,0.4727549890665703,0.8696712526124912,0.12479109482074315,0.06783668141593982
12.0,-0.4044570028781891,-0.6694326996803284,1.831850528717041,0.307294100522995,1.398775577545166,-1.03586745262146,0.8453479409217834,-0.11448609083890915,-0.06489149481058121,0.4464935538614371,0.8892408410084947,0.08889343146430743,0.04463396560008666
13.0,-0.3932564854621887,-0.6640015244483948,1.8231409788131714,0.3379034698009491,1.458932876586914,-1.964095115661621,0.8436696529388428,-0.11375134438276291,-0.06495335698127747,-0.0020821224566110533,0.9977573810815215,0.03749321681299755,0.05540877147557714
14.0,-0.3999905586242676,-0.6588256359100342,1.8073793649673462,0.35153937339782715,1.4427540302276611,-1.0644114017486572,0.8523885607719421,-0.12075737118721008,-0.06460139155387878,0.4346308059633251,0.8976435600482418,0.06572250037185828,0.03182223368119172
15.0,-0.3966975212097168,-0.655929684638977,1.7945024967193604,0.3608543574810028,1.4459214210510254,-1.0497230291366577,0.8602112531661987,-0.12158774584531784,-0.06372390687465668,0.43980872340462085,0.8952161608947995,0.06444957985749288,0.03166328703983442
16.0,-0.4064384698867798,-0.6539850234985352,1.7978935241699219,0.36744946241378784,1.4556523561477661,-1.9779337644577026,0.8543093204498291,-0.1295710802078247,-0.06507493555545807,-0.00205855936540168,0.9979016805923807,0.041083849948746275,0.05000115476296767
17.0,-0.4138053357601166,-0.6528193950653076,1.791124701499939,0.36365795135498047,1.4123027324676514,-1.1589657068252563,0.8612997531890869,-0.13212381303310394,-0.0646628811955452,0.397201054175311,0.9136712813583326,0.0790831029929712,0.03437986335120306
18.0,-0.4179270565509796,-0.6481702923774719,1.7793381214141846,0.37679523229599,1.408516764640808,-1.1994532346725464,0.8666120171546936,-0.13764594495296478,-0.06466857343912125,0.3806670758225034,0.9206245892862782,0.08025962442211851,0.03318637783543979
