ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
-0.16582271,-0.8278206,2.2192504,-0.80232495,1.6827923,0.074547656
-0.1772514,-0.8409077,2.222206,-0.8006367,1.6588663,0.057645373
-0.18853772,-0.8496053,2.225672,-0.8018752,1.6341264,0.04091792
-0.17107275,-0.8615833,2.214131,-0.77814233,1.6788762,0.069700286
-0.20877093,-0.8666998,2.228644,-0.79517955,1.5883313,0.011158494
-0.21626425,-0.8564902,2.233906,-0.808897,1.5704618,-0.00021378662
-0.28655595,-0.88532054,2.19251,-0.6198758,1.4013071,-0.13758194
-0.32182935,-0.88408196,2.1563292,-0.49521846,1.3151519,-0.24372773
-0.26901716,-0.88719094,2.1150324,-0.3812425,1.456294,-0.12845735
-0.23632388,-0.88586164,2.1602893,-0.53868616,1.5319263,-0.035166066
-0.18892863,-0.87972355,2.1285944,-0.47173008,1.6540638,0.08162724
-0.16243456,-0.87311924,2.140888,-0.5342942,1.711787,0.12596881
-0.13595721,-0.86403435,2.1539526,-0.605842,1.768475,0.15879615
-0.11311473,-0.85420334,2.1656222,-0.6744615,1.8196882,0.18026298
-0.09106255,-0.84280616,2.1651006,-0.7062565,1.8699435,0.20568451
-0.08444332,-0.8331619,2.1620998,-0.70492566,1.8819627,0.21696685
-0.07497544,-0.8219693,2.156706,-0.70009106,1.9004955,0.23400183
-0.066809215,-0.81252295,2.1520593,-0.69605905,1.9153392,0.24809365
-0.06824081,-0.80240786,2.15666,-0.7085786,1.9047043,0.2420755
-0.0700594,-0.7925331,2.1612806,-0.7212467,1.8934586,0.23536253
-0.061606348,-0.78302306,2.1564338,-0.7173145,1.9076906,0.24919634
-0.061706625,-0.7742441,2.1589794,-0.7261035,1.9014292,0.24615018
-0.046758022,-0.7596136,2.1478202,-0.7129674,1.9280909,0.27308175
-0.028499963,-0.75775045,2.1277833,-0.67684823,1.9729414,0.3143512
-0.036143064,-0.7695408,2.1328666,-0.68035704,1.963412,0.30177504
-0.03557471,-0.77607584,2.129975,-0.67186993,1.9705814,0.30612123
-0.04235284,-0.786409,2.1348948,-0.6766297,1.9599402,0.2930398
-0.05137537,-0.8047984,2.139645,-0.67788327,1.9489139,0.27738383
-0.054932944,-0.81932724,2.1380951,-0.6690894,1.9504467,0.27443674
-0.06155851,-0.83188593,2.1403983,-0.66814446,1.9412991,0.26352042
-0.038466897,-0.80897033,2.1224718,-0.6450807,1.9874192,0.30930948
-0.030087756,-0.81196755,2.1103585,-0.6220647,2.0134647,0.331138
-0.02570646,-0.81577426,2.1027815,-0.607095,2.029211,0.34359816
-0.01790772,-0.8022425,2.0973957,-0.6018412,2.0408394,0.35994825
-0.01193285,-0.7918656,2.093032,-0.5974079,2.0497074,0.37281704
-0.0059394906,-0.7824807,2.0887396,-0.59341556,2.0574558,0.38420662
0.0013217743,-0.77332544,2.0823257,-0.5854515,2.0690053,0.39942795
0.0027351482,-0.7650962,2.083961,-0.59201723,2.0646682,0.39893776
-0.0062795505,-0.76319665,2.097522,-0.618055,2.0374272,0.37325826
-0.01712113,-0.7727219,2.108252,-0.63353527,2.0167415,0.34976426
-0.017393226,-0.78102833,2.105266,-0.62432,2.0238671,0.3531763
-0.029008793,-0.7921161,2.1164079,-0.64030373,2.0009,0.32768714
-0.016763803,-0.75986147,2.1126468,-0.64771247,2.0057387,0.34429333
0.011894762,-0.74433565,2.0787988,-0.59144187,2.070242,0.41448572
0.01847622,-0.746516,2.066312,-0.5662958,2.0926678,0.43745407
0.021960748,-0.7503078,2.0580115,-0.5485783,2.108016,0.4520142
0.019059055,-0.7604319,2.0584188,-0.54538226,2.1097884,0.4480602
0.017516093,-0.7678961,2.057486,-0.54077864,2.1130404,0.44720668
0.032808054,-0.7486313,2.0378587,-0.5105186,2.1407728,0.48926222
0.0354678,-0.7377056,2.038949,-0.51746863,2.135138,0.48979583
0.044982154,-0.72662914,2.0259304,-0.49713176,2.1518257,0.51626384
0.0514964,-0.7283998,2.0105374,-0.46615654,2.1765904,0.54434705
