time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.0,-0.239328,-0.8077389,1.8992667,-2.414894,-1.6107342,-0.15676445
1.0,-0.22843543,-0.8044686,1.8935486,-2.4130962,-1.6130929,-0.16629972
2.0,-0.2229524,-0.8009058,1.8869671,-2.410257,-1.6139812,-0.16985108
3.0,-0.22693853,-0.7975141,1.8803853,-2.4069157,-1.6126115,-0.16446212
4.0,-0.23273243,-0.7996923,1.883787,-2.4062822,-1.6118238,-0.16018479
5.0,-0.24092378,-0.8013756,1.8863022,-2.4056878,-1.6103168,-0.15349467
6.0,-0.24654174,-0.8054231,1.8938327,-2.409225,-1.609392,-0.14999275
7.0,-0.24530299,-0.797503,1.8785594,-2.401032,-1.6089,-0.14759915
8.0,-0.24549069,-0.7915345,1.8670182,-2.394959,-1.6086444,-0.14632353
9.0,-0.25330716,-0.7995974,1.8815681,-2.3997304,-1.6076978,-0.14171977
10.0,-0.26011023,-0.800945,1.8835334,-2.3992572,-1.6064603,-0.13642316
11.0,-0.2556142,-0.7942066,1.8712028,-2.3946784,-1.6065756,-0.13742329
12.0,-0.26249465,-0.79194146,1.8657373,-2.3887057,-1.6055781,-0.13214508
13.0,-0.26858848,-0.7951664,1.8714854,-2.3907244,-1.604221,-0.12678939
14.0,-0.25516158,-0.7874253,1.8575505,-2.3855836,-1.6071094,-0.13819458
15.0,-0.26137802,-0.7867666,1.8554403,-2.3821907,-1.6060222,-0.13306414
16.0,-0.2682118,-0.7891789,1.8593892,-2.382468,-1.6048404,-0.12800318
17.0,-0.27557522,-0.7914206,1.8629535,-2.3825355,-1.6033719,-0.121926896
18.0,-0.27582893,-0.78474164,1.8492475,-2.3726404,-1.6040626,-0.12307609
19.0,-0.26947367,-0.7825778,1.8455822,-2.371861,-1.6054627,-0.128565
20.0,-0.27049488,-0.7776749,1.8350842,-2.3630395,-1.6063943,-0.13031615
21.0,-0.26485142,-0.77379596,1.827506,-2.3580372,-1.6080788,-0.13571481
22.0,-0.27660748,-0.7678324,1.806173,-2.305577,-1.5761513,-0.01709332
23.0,-0.2738105,-0.76151663,1.7904351,-2.2811553,-1.5731466,-0.007126351
24.0,-0.259505,-0.7658488,1.810057,-2.3399465,-1.6068686,-0.12710355
25.0,-0.25233176,-0.7699188,1.8207765,-2.3557696,-1.6107872,-0.14576536
26.0,-0.25944647,-0.7763618,1.833766,-2.3654008,-1.6083144,-0.13853545
27.0,-0.25192252,-0.7757211,1.8333608,-2.3673458,-1.6095871,-0.14413764
28.0,-0.25517184,-0.78114694,1.8445269,-2.3758743,-1.6079042,-0.13950728
29.0,-0.24833798,-0.7827548,1.8488326,-2.3816555,-1.6085916,-0.14382572
30.0,-0.23911774,-0.7793885,1.8429034,-2.3799496,-1.6107635,-0.15249017
31.0,-0.2423013,-0.77449626,1.8319287,-2.3689902,-1.6113259,-0.15160847
32.0,-0.24592973,-0.7684685,1.8188909,-2.3575034,-1.6114663,-0.1494627
33.0,-0.23711614,-0.76843566,1.8201895,-2.3623548,-1.6124738,-0.15524183
34.0,-0.22981296,-0.767734,1.8198086,-2.365162,-1.6134827,-0.16051258
