time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
0.0,-0.31984320282936096,-0.7711657881736755,2.263317584991455,-0.9062489867210388,1.3127177953720093,-0.16778342425823212,0.7511005997657776,0.00444714305922389,-0.10458378493785858,-0.6153504640439257,0.6234287795870654,0.3433037653126561,-0.33885526099746527
1.0,-0.3029540181159973,-0.7792211771011353,2.261997699737549,-0.9031051397323608,1.3472963571548462,-0.14410418272018433,0.7535276412963867,0.010887298732995987,-0.09952232241630554,-0.6075225656305431,0.6308557302251944,0.3476436048655512,-0.33478545949279803
2.0,-0.3117154836654663,-0.7905393838882446,2.2596685886383057,-0.8884895443916321,1.3260588645935059,-0.15765082836151123,0.7566280364990234,0.006656242068856955,-0.09129857271909714,-0.6122379798690125,0.6255164534938782,0.3456238021868946,-0.3382868749689028
3.0,-0.30309829115867615,-0.8017540574073792,2.2573301792144775,-0.8790994882583618,1.3423200845718384,-0.14620280265808105,0.7599170804023743,0.009564902633428574,-0.08362936228513718,-0.6085031782738131,0.6286318981217346,0.3479770850123714,-0.33683492544691096
4.0,-0.29986438155174255,-0.8116665482521057,2.2550666332244873,-0.8692908883094788,1.3472617864608765,-0.1424063742160797,0.7628074288368225,0.010340094566345215,-0.07664336264133453,-0.6073183922760796,0.6292470750230371,0.34896428870073076,-0.3368032277008984
5.0,-0.2932344675064087,-0.8207514882087708,2.252825975418091,-0.8611366748809814,1.3597908020019531,-0.1337209939956665,0.7655349969863892,0.012575921602547169,-0.07028201222419739,-0.6044146031014748,0.6315857910508426,0.3508160731770495,-0.3357237836391749
6.0,-0.2775963842868805,-0.8300284147262573,2.250035524368286,-0.8545393943786621,1.3928794860839844,-0.11184132099151611,0.7685237526893616,0.01840249076485634,-0.06389152258634567,-0.5966438617037212,0.6385080071906982,0.35519368152390607,-0.3319052208841077
7.0,-0.29240185022354126,-0.8364322781562805,2.24880051612854,-0.8440093994140625,1.3583744764328003,-0.13384151458740234,0.7701408863067627,0.012046713382005692,-0.05888942629098892,-0.6046217129078336,0.6304826168279362,0.3513128790062904,-0.3369028275371207
8.0,-0.3016587793827057,-0.8518267869949341,2.2445175647735596,-0.8240841627120972,1.334842324256897,-0.14828406274318695,0.7745985984802246,0.007262008264660835,-0.04724736511707306,-0.609797123479465,0.6244331978929183,0.349199065230896,-0.3410141674582775
9.0,-0.29324960708618164,-0.8613677620887756,2.241781234741211,-0.8158851265907288,1.3533480167388916,-0.1357814520597458,0.777534544467926,0.009955758228898048,-0.040397174656391144,-0.605269039062049,0.6283777232734338,0.3519472582667422,-0.3390043578556519
10.0,-0.2821792662143707,-0.8706067204475403,2.233462333679199,-0.7878566980361938,1.3790391683578491,-0.12288457900285721,0.7809976935386658,0.013471590355038643,-0.033572711050510406,-0.6020380865375875,0.6359898426984624,0.35060001389928036,-0.3318835527656799
11.0,-0.2632085978984833,-0.8640105128288269,2.239809989929199,-0.8194020390510559,1.4230495691299438,-0.09130144119262695,0.7789379954338074,0.021801229566335678,-0.0389537587761879,-0.5886421515460574,0.6439633040680331,0.3606972567264404,-0.3297107359899444
12.0,-0.2565613090991974,-0.8564722537994385,2.2414650917053223,-0.8287712931632996,1.4391236305236816,-0.08144380897283554,0.7768745422363281,0.024938184767961502,-0.04463429003953934,-0.584915341766126,0.6477494903641843,0.36230198714280487,-0.3271573181390422
13.0,-0.27090203762054443,-0.8482944965362549,2.244858980178833,-0.8357448577880859,1.4066122770309448,-0.10230163484811783,0.7740391492843628,0.019808974117040634,-0.050598807632923126,-0.5929541397958892,0.640912835492955,0.35782778118141306,-0.3310519663347196
14.0,-0.25086709856987,-0.8419536352157593,2.2449216842651367,-0.8454828858375549,1.4534355401992798,-0.07287168502807617,0.7727481126785278,0.028117287904024124,-0.0554080605506897,-0.581742086680516,0.6513704037099582,0.3633216814816788,-0.3244843563573607
15.0,-0.23850224912166595,-0.8488717079162598,2.2415525913238525,-0.8386716246604919,1.4814881086349487,-0.05511993542313576,0.7752628922462463,0.03252881020307541,-0.05023619532585144,-0.5746768753702942,0.6570758337273689,0.36721795865981854,-0.3211678820863544
16.0,-0.22424142062664032,-0.8553618788719177,2.2367937564849854,-0.8298619985580444,1.5130984783172607,-0.03546498715877533,0.7782023549079895,0.03779777139425278,-0.045127756893634796,-0.5669463326219804,0.663436752087249,0.37120798619305717,-0.3172194238896857
17.0,-0.21490806341171265,-0.8617762923240662,2.2324445247650146,-0.8204591870307922,1.5349055528640747,-0.022006848827004433,0.7809469699859619,0.04093556106090546,-0.040013618767261505,-0.5614107222318017,0.6678939691227712,0.37402308175453697,-0.3143920821004191
18.0,-0.19746528565883636,-0.8666818141937256,2.225714921951294,-0.8097110986709595,1.57628333568573,0.0033589734230190516,0.7841153144836426,0.04724009335041046,-0.03554246574640274,-0.5508839876969946,0.6764447167145748,0.3790342768770963,-0.3086784642313957
19.0,-0.17548610270023346,-0.8559438586235046,2.2212767601013184,-0.8133626580238342,1.6272399425506592,0.034726668149232864,0.7832399606704712,0.05641850829124451,-0.04252282530069351,-0.5382374880403142,0.6870704640018495,0.3842315751995853,-0.3009994694081397
20.0,-0.1685534417629242,-0.8630656003952026,2.216435194015503,-0.8022311925888062,1.6444356441497803,0.045192375779151917,0.7862366437911987,0.058581627905368805,-0.03655567020177841,-0.5334696565890765,0.6903109683228037,0.38673116426917914,-0.29886434898624353
21.0,-0.1468493938446045,-0.8466194272041321,2.2119622230529785,-0.8090133666992188,1.6938300132751465,0.07616770267486572,0.7840725183486938,0.0680692046880722,-0.047540679574012756,-0.5210922804130199,0.7003594191549429,0.3913663678953466,-0.2911904623701024
