time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.0,-0.39739498496055603,-0.43681758642196655,1.1770938634872437,0.3708324134349823,0.6293444037437439,-1.0213204622268677
1.0,-0.4050470292568207,-0.3753979802131653,1.0665419101715088,0.571931779384613,0.585904061794281,-1.2063963413238525
2.0,-0.40983033180236816,-0.33041658997535706,0.9935579299926758,0.7028641700744629,0.5685763359069824,-1.3291314840316772
3.0,-0.39420825242996216,-0.4564986228942871,1.221628189086914,0.292334645986557,0.653740644454956,-0.9532787203788757
4.0,-0.40230420231819153,-0.4145359992980957,1.1479246616363525,0.4226369857788086,0.61637943983078,-1.0759596824645996
5.0,-0.41434434056282043,-0.2643161416053772,0.8869893550872803,0.8928249478340149,0.5570764541625977,-1.5056737661361694
6.0,-0.4139264225959778,-0.30340805649757385,0.959977924823761,0.7617976665496826,0.5651600360870361,-1.3908575773239136
7.0,-0.41648241877555847,-0.22481903433799744,0.8245432376861572,0.9980192184448242,0.5574944615364075,-1.6025487184524536
8.0,-0.4132751226425171,-0.10372934490442276,0.6061496734619141,1.342046856880188,0.5817688703536987,-1.8949331045150757
9.0,-0.4185890257358551,-0.19250068068504333,0.7770592570304871,1.0750703811645508,0.5618666410446167,-1.675657868385315
10.0,-0.41695618629455566,-0.14907489717006683,0.6952402591705322,1.2046537399291992,0.5683779120445251,-1.7834755182266235
11.0,-0.42026206851005554,-0.16471964120864868,0.7346808910369873,1.1362435817718506,0.566675066947937,-1.7308977842330933
12.0,-0.4160543382167816,-0.09534253925085068,0.6012916564941406,1.3400722742080688,0.5843877196311951,-1.897260308265686
13.0,-0.41126590967178345,-0.04820111021399498,0.5039522051811218,1.4725208282470703,0.600841224193573,-1.996003270149231
14.0,-0.4023113548755646,0.06120411306619644,0.27853620052337646,1.7178137302398682,0.6418436169624329,-2.1546692848205566
15.0,-0.39106518030166626,0.19488270580768585,-1.567108890604982e-17,1.9728190898895264,0.6945050954818726,-2.29496693611145
