Joint Reconfiguration Analysis Results
============================================================

Input file: data/trajectory/1158/joint_trajectory_dp.csv
Threshold: 1.000 radians
Total timesteps: 1158
Total reconfigurations: 62
Reconfiguration rate: 5.4%

Per-joint statistics:
ur20-shoulder_pan_joint: 0 reconfigurations, max change: 0.231 rad
ur20-shoulder_lift_joint: 0 reconfigurations, max change: 0.290 rad
ur20-elbow_joint: 0 reconfigurations, max change: 0.488 rad
ur20-wrist_1_joint: 4 reconfigurations, max change: 3.438 rad
ur20-wrist_2_joint: 3 reconfigurations, max change: 4.613 rad
ur20-wrist_3_joint: 61 reconfigurations, max change: 3.181 rad

All Reconfiguration Timesteps:
Timestep   Max Change   Joints Involved               
------------------------------------------------------------
58         1.612        wrist_3
59         1.391        wrist_3
203        1.000        wrist_3
211        1.126        wrist_3
216        1.313        wrist_3
220        1.462        wrist_3
227        1.556        wrist_3
232        1.690        wrist_3
237        1.752        wrist_1, wrist_3
239        1.994        wrist_3
240        2.002        wrist_3
242        2.028        wrist_3
243        2.037        wrist_3
249        2.283        wrist_3
252        2.248        wrist_3
253        2.431        wrist_3
254        2.421        wrist_3
259        2.444        wrist_3
261        2.536        wrist_3
273        2.818        wrist_3
275        2.900        wrist_3
279        2.976        wrist_3
305        4.613        wrist_1, wrist_2, wrist_3
332        3.181        wrist_3
340        3.156        wrist_3
343        2.956        wrist_3
344        2.896        wrist_3
347        2.820        wrist_3
350        2.720        wrist_3
351        2.736        wrist_3
357        2.564        wrist_3
374        2.311        wrist_3
380        2.196        wrist_3
412        2.045        wrist_3
416        2.003        wrist_3
417        2.018        wrist_3
418        1.905        wrist_3
420        1.871        wrist_3
421        1.714        wrist_3
427        1.700        wrist_3
433        1.436        wrist_3
435        1.453        wrist_3
436        1.396        wrist_3
480        1.265        wrist_3
481        1.201        wrist_3
484        1.051        wrist_3
528        3.057        wrist_1, wrist_2, wrist_3
775        1.177        wrist_3
810        2.563        wrist_3
815        2.958        wrist_3
819        3.036        wrist_3
841        3.076        wrist_3
877        3.438        wrist_1, wrist_2
878        3.158        wrist_3
880        3.097        wrist_3
887        2.983        wrist_3
897        1.993        wrist_3
901        2.858        wrist_3
902        2.994        wrist_3
981        1.408        wrist_3
982        1.233        wrist_3
986        1.038        wrist_3
