ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
-0.3546799,-0.7742422,2.245707,-0.80618864,1.2524682,-0.240797
-0.35244495,-0.786734,2.2600102,-0.8618762,1.2468016,-0.21957111
-0.35593066,-0.8106369,2.2529008,-0.83116794,1.2299858,-0.23001586
-0.36411425,-0.82720536,2.245826,-0.8042822,1.2052734,-0.2469873
-0.39615273,-0.8134045,2.2401485,-0.79098856,1.133903,-0.3026602
-0.38732362,-0.7998057,2.2473896,-0.8167654,1.160739,-0.28333658
-0.4118391,-0.7784683,2.244789,-0.81674063,1.112014,-0.3244794
-0.40604213,-0.7653497,2.2505126,-0.8389861,1.131452,-0.31042075
-0.43553624,-0.76431257,2.2362309,-0.79897,1.0610527,-0.3709273
-0.42726332,-0.7867432,2.2335763,-0.78202236,1.0690751,-0.36050323
-0.428865,-0.7994376,2.2278225,-0.76159793,1.0582561,-0.36834246
-0.44694114,-0.8036903,2.2130342,-0.72084856,1.0084136,-0.41343802
-0.46858594,-0.7873583,2.202289,-0.6993152,0.9627037,-0.46096948
-0.46952665,-0.8023677,2.1941624,-0.6729823,0.94969577,-0.47095764
-0.44978392,-0.82318777,2.201615,-0.6848405,0.9882776,-0.42896467
-0.44051382,-0.8381349,2.2021751,-0.68209976,1.0050666,-0.41047117
-0.460022,-0.8400093,2.1831248,-0.6336035,0.9484597,-0.4640916
-0.46876398,-0.8262689,2.1811297,-0.6324936,0.93326205,-0.48308843
-0.48435315,-0.8048353,2.1739285,-0.62083876,0.9029468,-0.5217746
-0.49603847,-0.78842944,2.1676257,-0.61009896,0.88027996,-0.5524647
-0.49785632,-0.77180475,2.1759691,-0.63726926,0.8895478,-0.5454623
-0.50559443,-0.7588931,2.1729333,-0.63488877,0.8779465,-0.5627607
-0.5119728,-0.73828787,2.1765716,-0.6536867,0.8782297,-0.5675321
-0.5342015,-0.731954,2.1439168,-0.57225937,0.81517893,-0.6527643
-0.54103965,-0.7373574,2.1238172,-0.51799065,0.7842827,-0.69659495
-0.52391154,-0.7577534,2.1429758,-0.5591745,0.82113457,-0.6365328
-0.51671225,-0.77082926,2.1458647,-0.5614878,0.8307957,-0.61963636
-0.512806,-0.78818685,2.138692,-0.5374613,0.8247955,-0.62224966
-0.4975359,-0.80580825,2.1522734,-0.5661737,0.858632,-0.5741458
-0.48887444,-0.8220926,2.1542149,-0.56675965,0.87199914,-0.55356616
-0.52939874,-0.7820267,2.1024325,-0.44846046,0.7671449,-0.70836276
-0.53893214,-0.76483613,2.0936286,-0.4308255,0.7502725,-0.74265534
-0.5483124,-0.74669224,2.0854888,-0.4151596,0.7353013,-0.7759797
-0.55129176,-0.73445743,2.0935264,-0.440465,0.7430587,-0.767223
-0.5667239,-0.71102804,2.0687437,-0.38601595,0.7105527,-0.8375368
-0.57393146,-0.6910055,2.0724626,-0.40465295,0.71298146,-0.84195435
-0.55580014,-0.71027994,2.111878,-0.49884936,0.76297915,-0.74157244
-0.5855108,-0.67763674,2.0309463,-0.2994335,0.67013764,-0.94326156
-0.5839253,-0.68304825,2.0210512,-0.2701027,0.66173077,-0.961929
-0.5831364,-0.68647885,2.0076098,-0.23234242,0.6506797,-0.98915726
-0.58199257,-0.6901259,1.9945664,-0.19564413,0.6403246,-1.0151137
-0.5751056,-0.70691663,1.9992664,-0.20238581,0.64455664,-0.99259305
-0.5639162,-0.73220766,2.02587,-0.26602727,0.6694682,-0.9146671
-0.5564241,-0.74925226,2.0344954,-0.28390855,0.6795448,-0.8821631
-0.5428359,-0.7733604,2.0484889,-0.30881068,0.70960337,-0.8322047
-0.5478367,-0.7589189,2.0650764,-0.3593103,0.71352804,-0.80989945
-0.5586802,-0.7386294,2.052217,-0.33291838,0.69568443,-0.85338736
-0.56641424,-0.72117275,2.0487645,-0.32998863,0.6897291,-0.8740461
-0.5962303,-0.65577286,1.9833977,-0.18100432,0.632829,-1.0602794
-0.5966458,-0.6540134,2.0011566,-0.23080581,0.64640063,-1.0215698
-0.60782963,-0.62599444,1.9478796,-0.09668651,0.6103275,-1.1568161
-0.60584587,-0.62674904,1.9320602,-0.050391227,0.6015773,-1.1933873
-0.5966844,-0.6542964,1.9631366,-0.12564255,0.6183322,-1.1063366
-0.5919683,-0.66583854,1.9645851,-0.124453746,0.6187217,-1.0960475
-0.58657646,-0.6786161,1.9585593,-0.10265487,0.6139554,-1.1008327
-0.5817544,-0.6903644,1.9592291,-0.100104444,0.61410016,-1.0910813
-0.58506984,-0.67334527,1.9203466,0.0027642853,0.5916548,-1.1897436
-0.576163,-0.69782144,1.9302835,-0.017741596,0.5961916,-1.1483815
-0.5856839,-0.66244686,1.892103,0.080050536,0.5777829,-1.2620331
-0.59207135,-0.6384947,1.8693777,0.13723212,0.5698111,-1.331412
